Rank,Title,Score,Chapters/Volumes,Published
6147,Megami no Yuusha wo Taosu Gesu na Houhou,7.13,Light Novel (6 vols),Jan 2017 - Dec 2018
6148,Ki ni Naru Mori-san,7.13,Manga (1 vols),Nov 2016 - May 2017
6149,Nekomata.,7.13,Manga (? vols),Jan 2013 -
6150,Tonari no Oneesan ga Suki,7.13,Manga (? vols),Aug 2021 -
6151,100-nichigo ni Kekkon suru Futari,7.13,Doujinshi (1 vols),Dec 2021 - Dec 2021
6152,Jirai nan desu ka? Chihara-san,7.13,Manga (? vols),Jun 2021 -
6153,Legend of Tyr,7.13,Manhwa (11 vols),2008 - 2010
6154,T.R.A.P.,7.13,Manga (6 vols),Mar 2010 - Jun 2011
6155,Mouryou no Yurikago,7.13,Manga (6 vols),Apr 2010 - Aug 2012
6156,Tsukiyo-Zoushi,7.13,Manga (1 vols),2009 -
6157,Hatarake, Kentauros!,7.13,Manga (1 vols),May 2010 - Apr 2011
6158,Pii Natsu ga Ippai,7.13,Manga (6 vols),1988 - 1998
6159,Snow Love,7.13,Manhua (3 vols),Jan 2009 - 2010
6160,Seraphim: 2-oku 6661-man 3336 no Tsubasa,7.13,Manga (1 vols),Apr 1994 - Oct 1996
6161,Uchi no Ouji Irimasen ka,7.13,Manga (1 vols),-
6162,Aruitou,7.13,Manga (11 vols),Apr 2011 - Oct 2015
6163,Corpse Party: Another Child,7.13,Manga (3 vols),Jul 2011 - Dec 2012
6164,Saki-biyori,7.13,Manga (7 vols),Jun 2011 - Mar 2018
6165,Lost Man,7.13,Manga (17 vols),Nov 2007 - Mar 2012
6166,Sekai de Ichiban Utsukushii Namae,7.13,One-shot (? vols),Feb 2012 - Feb 2012
6167,Kirikago-hime to Mahoutsukai,7.13,Manga (2 vols),Apr 2012 - Jan 2014
6168,IS!,7.13,Manga (2 vols),Dec 2010 - Aug 2012
6169,Renai Shimasen ka?,7.13,Manga (3 vols),Mar 2012 - Aug 2013
6170,Saint Seiya: Gigantomachia,7.13,Light Novel (2 vols),Aug 2002 - Dec 2002
6171,Love Log,7.13,One-shot (? vols),2012 - 2012
6172,Mahoroba no Hibi,7.13,Manga (1 vols),Feb 2011 - Sep 2012
6173,A Fairytale for the Demon Lord,7.13,Manhwa (? vols),Jan 2011 - Jul 2014
6174,Kyou no Yuiko-san,7.13,Manga (5 vols),Sep 2011 - Apr 2015
6175,Koi. - Itoshii Itoshii to Iu Kokoro,7.13,Manga (? vols),Jan 2013 - May 2013
6176,Uchi no Heika ga Shinmai de.,7.13,Manga (7 vols),Mar 2013 - Jun 2015
6177,Magnet na Watashitachi,7.13,Manga (1 vols),Feb 2013 - Jul 2013
6178,Ore Ride!!,7.13,One-shot (? vols),Jun 2013 - Jun 2013
6179,Angelic Layer,7.13,Manga (5 vols),Dec 1998 - Sep 2001
6180,Chocotto Sister,7.13,Manga (8 vols),Dec 2003 - Apr 2007
6181,Break Shot,7.13,Manga (16 vols),1987 - 1990
6182,Star Ocean: Till the End of Time,7.13,Manga (7 vols),May 2003 - Oct 2005
6183,Dennou Believers,7.13,Manga (4 vols),Apr 2006 - Dec 2007
6184,Muchakucha Daisuki.,7.13,Manga (4 vols),2000 - 2001
6185,Jungle wa Itsumo Haré Nochi Guu,7.13,Manga (10 vols),Jan 1997 - Dec 2002
6186,Ageha 100%,7.13,Manga (5 vols),Jul 2004 - Apr 2006
6187,Ardour,7.13,Manhua (12 vols),2004 -
6188,Yoru no Kakaku - Night Exile,7.13,Manga (2 vols),2004 -
6189,Binbou Shimai Monogatari,7.13,Manga (4 vols),Apr 2004 - Oct 2006
6190,Kapon (>_<)!,7.13,Manga (3 vols),- May 2005
6191,Yubikiri,7.13,Manga (1 vols),2002 - 2002
6192,Secret Kiss,7.13,Manga (1 vols),2000 - 2002
6193,Kiss dake ja Kaesanai,7.13,Manga (4 vols),2005 - 2006
6194,Coy - Crush On You,7.13,Manhwa (5 vols),2003 -
6195,Oresama Ouji,7.13,Manga (1 vols),2008 - 2008
6196,Dorothy of Oz,7.13,Manhwa (5 vols),2005 -
6197,Koucha Ouji,7.13,Manga (25 vols),1997 -
6198,Ai wo Choudai!,7.13,Manga (4 vols),Feb 2006 - Nov 2009
6199,Tokyo Juliet,7.13,Manga (13 vols),May 1996 -
6200,Chouchougumo,7.13,Manga (1 vols),Nov 2006 - Nov 2006
6201,Cyborg Kuro-chan,7.13,Manga (11 vols),Sep 1997 - Dec 2001
6202,Asklepios,7.13,Manga (3 vols),Sep 2008 - Feb 2009
6203,Deltora Quest,7.13,Manga (10 vols),Oct 2005 - Dec 2008
6204,S+,7.13,Manga (2 vols),2004 -
6205,Koi no Uta,7.13,Manga (1 vols),2004 - 2004
6206,Youkai no Oishasan,7.13,Manga (15 vols),Jul 2006 - Feb 2011
6207,Sousoukyoku Nightmare,7.13,Manga (2 vols),Nov 2007 - Feb 2008
6208,Zero no Tsukaima Gaiden: Tabitha no Bouken,7.13,Manga (5 vols),Oct 2007 - May 2010
6209,Asobi ni Iku yo!,7.13,Manga (10 vols),Aug 2006 - Jun 2014
6210,Hishoka Drop,7.13,Manga (3 vols),Sep 2005 - Nov 2007
6211,Izayakaku,7.13,Manga (4 vols),Sep 2008 - Nov 2010
6212,Kagijin,7.13,One-shot (? vols),Jan 2009 - Jan 2009
6213,Diamond Beat,7.13,Manga (1 vols),Oct 2006 - Dec 2009
6214,Muv-Luv Alternative: Total Eclipse,7.13,Manga (3 vols),Oct 2009 - Dec 2011
6215,Tenshi no Marshmallow,7.13,Manga (4 vols),Jan 2006 - Nov 2010
6216,Renai Anagram,7.13,Manga (1 vols),2008 - 2008
6217,M.A.X.,7.13,Manhwa (4 vols),2009 -
6218,Tokyo Kareshi,7.13,Manga (1 vols),Mar 2009 - Mar 2009
6219,Koibumi Biyori,7.12,Manga (3 vols),2000 - 2004
6220,Qwan,7.12,Manga (7 vols),Sep 2002 - Feb 2008
6221,Yubisaki Milk Tea,7.12,Manga (10 vols),Dec 2002 - Mar 2010
6222,Saint Seiya: Next Dimension - Meiou Shinwa,7.12,Manga (? vols),Apr 2006 -
6223,Golden Boy,7.12,Manga (10 vols),Jun 1993 - Jan 1998
6224,Deimos no Hanayome,7.12,Manga (17 vols),Dec 1974 - Sep 1990
6225,Banya: The Explosive Delivery Man,7.12,Manhwa (5 vols),Aug 2004 - Mar 2006
6226,Fugurumakan Raihouki,7.12,Manga (1 vols),Nov 2004 - Nov 2004
6227,It's Love,7.12,Manhwa (7 vols),-
6228,Tales of Eternia,7.12,Manga (9 vols),Jun 2001 - Feb 2006
6229,Iya x Shite,7.12,Manga (1 vols),2004 - 2004
6230,Honeymoon Salad,7.12,Manga (5 vols),Oct 1999 - Dec 2001
6231,Fate/kaleid liner Prisma☆Illya,7.12,Manga (2 vols),Sep 2007 - Nov 2008
6232,Mobile Suit Gundam SEED,7.12,Light Novel (5 vols),2003 - 2004
6233,Wild Cats,7.12,Manga (1 vols),Sep 1997 - Dec 2000
6234,Gakuen Ouji,7.12,Manga (12 vols),Dec 2006 - Jul 2011
6235,Komorebi no Moto de...,7.12,Manga (3 vols),Jul 1993 - Jan 1994
6236,With!!,7.12,Manga (4 vols),May 2005 - Jun 2009
6237,Billion Princess,7.12,Manhua (3 vols),2007 - 2010
6238,Ojousama no Gohoubi,7.12,Manga (1 vols),2006 - 2006
6239,Nekome Kozou,7.12,Manga (3 vols),Dec 1967 - 1976
6240,Adventure and Trouble Diary,7.12,Manhwa (9 vols),2005 -
6241,Sora no Mannaka,7.12,Manga (3 vols),Aug 2004 - Sep 2005
6242,Eden no Trill,7.12,Manga (8 vols),Apr 2007 - Mar 2010
6243,Goshujinsama ni Ki wo Tsukete,7.12,Manga (1 vols),Jul 2004 - Jan 2007
6244,Normal City,7.12,Manhwa (15 vols),-
6245,Wagaya no Oinari-sama.,7.12,Manga (11 vols),Feb 2007 - May 2013
6246,Heart wo Uchinomese!,7.12,Manga (2 vols),Jul 2001 - Apr 2003
6247,Oneichan to Issho,7.12,Manga (5 vols),2003 - 2007
6248,Koi no Ichibyougo,7.12,Manga (1 vols),Apr 2005 - Jul 2005
6249,I'm at End of Your Sight,7.12,Manhwa (? vols),2008 -
6250,Muteki Kareshi,7.12,Manga (1 vols),2008 - 2008
6251,Bakegyamon,7.12,Manga (5 vols),Mar 2006 - Mar 2007
6252,Ni no Hime no Monogatari,7.12,Manga (1 vols),-
6253,12-nin no Yasashii Koroshiya: Leo Murder Case,7.12,Manga (2 vols),Jan 2009 - Oct 2009
6254,Shiina-ke no Hitobito,7.12,Manga (6 vols),Feb 2009 - Feb 2011
6255,The Crater,7.12,Manga (3 vols),Jul 1969 - Mar 1970
6256,Setsuna Yuki,7.12,Manga (1 vols),Apr 2009 - Apr 2009
6257,Hokenshitsu no Shinigami,7.12,Manga (10 vols),Sep 2009 - Jun 2011
6258,Goshimei desu!,7.12,Manga (1 vols),Aug 2009 - Oct 2009
6259,Ushiro no Hikaruko-chan,7.12,Manga (2 vols),Dec 2013 - Jun 2015
6260,Zettai Zetsubou Shoujo: Danganronpa Another Episode,7.12,Manga (3 vols),Jan 2015 - Jul 2017
6261,Glow!,7.12,Manga (2 vols),Nov 2013 - Nov 2015
6262,Tiger x Crane: Record of the Demon Master,7.12,Manhua (? vols),Nov 2010 -
6263,Tatoe Hai ni Nattemo,7.12,Manga (6 vols),Dec 2015 - Feb 2019
6264,Nanatsu no Taizai: King no Manga Michi,7.12,Manga (3 vols),Feb 2016 - Jul 2017
6265,Hiraheishi wa Kako wo Yumemiru,7.12,Light Novel (9 vols),Feb 2014 - Jan 2018
6266,Adachi to Shimamura,7.12,Manga (3 vols),Apr 2016 - Sep 2017
6267,Fujiwara-kun wa Daitai Tadashii,7.12,Manga (9 vols),Feb 2016 - Oct 2019
6268,Yobidasareta Satsurikusha,7.12,Light Novel (9 vols),Apr 2015 - Jun 2018
6269,Shinseiki Evangelion: Pikopiko Chuugakusei Densetsu,7.12,Manga (5 vols),Apr 2014 - Aug 2018
6270,Kemono-tachi wa Wana no Naka,7.12,Manga (1 vols),Dec 2014 - Mar 2016
6271,Zassou Tachi yo Taishi wo Idake,7.12,Manga (1 vols),Jul 2015 - Dec 2016
6272,Albert-ke no Reijou wa Botsuraku wo Goshomou desu,7.12,Light Novel (? vols),Jul 2014 -
6273,High Position,7.12,Manga (5 vols),Jan 2017 - Nov 2018
6274,Kottou Nekoya,7.12,Manga (1 vols),Jun 2011 - Mar 2012
6275,Noise,7.12,Manga (3 vols),Dec 2017 - Jan 2020
6276,Ano Hito no I ni wa Boku ga Tarinai,7.12,Manga (6 vols),Feb 2018 - Jan 2021
6277,Utsukushii Mono-tachi,7.12,One-shot (? vols),Jan 2018 - Jan 2018
6278,Change the World: Kyou kara Satsujinki,7.12,Manga (5 vols),Apr 2018 - Aug 2020
6279,Kyuuketsuki Marguerite to Kuenai Gokinjo,7.12,One-shot (? vols),Aug 2018 - Aug 2018
6280,My Student Can't Be a Psychopath,7.12,Manhwa (? vols),Oct 2015 - Mar 2018
6281,Duranki,7.12,Manga (1 vols),Sep 2019 - May 2020
6282,Fudanshi Kazoku,7.12,Manga (? vols),Jan 2019 -
6283,Joou Heika no Isekai Strategy,7.12,Novel (? vols),Oct 2018 -
6284,Tate no Yuusha no Oshinagaki,7.12,Manga (? vols),Aug 2019 -
6285,Dear Noman,7.12,Manga (2 vols),Jul 2019 - Aug 2020
6286,Oyaji ga Bishoujo ni Natteta Hanashi,7.12,Manga (3 vols),Oct 2019 - Mar 2021
6287,Kodomo Otona,7.12,Manga (1 vols),Sep 2015 - May 2016
6288,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,7.12,Manga (? vols),Dec 2019 -
6289,Karaoke Iko!,7.12,Manga (1 vols),Aug 2019 - Aug 2019
6290,Yumemiru Danshi wa Genjitsushugisha,7.12,Light Novel (? vols),Jun 2020 -
6291,Seikyouiku 120%,7.12,Manga (3 vols),Jan 2020 - Feb 2021
6292,Ano Natsu de Matteru,7.12,Light Novel (2 vols),Mar 2012 - Jul 2012
6293,Rokka no Yuusha,7.12,Manga (4 vols),Feb 2012 - Nov 2014
6294,Brothers Conflict feat. Natsume,7.12,Manga (2 vols),Jan 2013 - Jan 2014
6295,Netoge no Yome wa Onnanoko ja Nai to Omotta?,7.12,Light Novel (? vols),Jul 2013 -
6296,Durarara!!: 3 Way Standoff - Alley,7.12,Manga (2 vols),Jul 2013 - Aug 2014
6297,Akai Mi Hajiketa,7.12,Manga (2 vols),Aug 2009 - Dec 2014
6298,Ayashi-ya,7.12,Manga (10 vols),Feb 2012 - May 2017
6299,Spirit Migration,7.12,Light Novel (6 vols),Dec 2013 - Jul 2016
6300,Now Playing,7.12,Manga (4 vols),Nov 2014 - Apr 2016
6301,Atashi, Kiss shita.,7.12,Manga (2 vols),Mar 2015 - Jul 2016
6302,Sweet Bitter Love,7.12,Manhwa (10 vols),-
6303,Ichiban Ushiro no Daimaou,7.12,Light Novel (13 vols),Feb 2008 - Apr 2014
6304,Anne no Aijou,7.12,Manga (1 vols),1998 - 1998
6305,Toraneko Folklore,7.12,Manga (6 vols),Apr 2010 - Jan 2013
6306,Secret,7.12,Manhwa (10 vols),-
6307,Chikutaku Bonbon,7.12,Manga (3 vols),Apr 2009 - 2011
6308,Gyakuten Honey,7.12,Manga (1 vols),Jun 2001 - Jul 2009
6309,Saishuu Heiki Kanojo Gaidenshuu - Sekai no Hate ni wa Kimi to Futari de,7.12,Manga (1 vols),Jul 2001 - Jan 2006
6310,Boku to Majo no Jikan,7.12,Manga (6 vols),Apr 2011 - Apr 2013
6311,Boku wa Tomodachi ga Sukunai+,7.12,Manga (2 vols),Nov 2010 - Jun 2012
6312,Kechonpa,7.12,Manga (3 vols),2009 - 2012
6313,Koutetsu no Hanappashira,7.12,Manga (9 vols),Sep 2010 - Sep 2012
6314,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,7.12,Light Novel (12 vols),Dec 2010 - Jan 2019
6315,Life Is Money,7.12,Manga (3 vols),Aug 2011 - Oct 2012
6316,Hoshi wo Ou Kodomo,7.12,Manga (3 vols),May 2011 - Jul 2012
6317,Natsumeki!!,7.12,Manga (8 vols),Mar 2011 - Jul 2013
6318,Sky Blue,7.12,Manga (5 vols),Jun 2010 - Feb 2012
6319,Clockwork,7.12,Manga (2 vols),Nov 2011 - Jul 2012
6320,Photokano: Sweet Snap,7.12,Manga (3 vols),Nov 2011 - Jul 2013
6321,Sora no Deau Basho de,7.12,Manga (1 vols),Jan 2010 - Jan 2012
6322,Kyoukaisenjou no Horizon,7.12,Manga (6 vols),Aug 2011 - Mar 2015
6323,Dracu-Riot!,7.12,Manga (2 vols),Mar 2012 - Feb 2013
6324,Date A Origami,7.12,Manga (1 vols),Nov 2011 -
6325,Ginyuu Gikyoku Black Bard,7.12,Manga (3 vols),Jun 2011 - Nov 2012
6326,Waltraute-san no Konkatsu Jijou,7.12,Light Novel (1 vols),Sep 2012 - Sep 2012
6327,Adele to Darius,7.12,One-shot (? vols),Oct 2009 - Oct 2009
6328,Patchwork,7.12,One-shot (? vols),Jan 2012 - Jan 2012
6329,Inu to Hasami wa Tsukaiyou,7.12,Light Novel (10 vols),Feb 2011 - Sep 2014
6330,JOKE:ЯR'S,7.12,Manga (3 vols),Jul 2012 - Jan 2014
6331,Nishiki-kun no Nasugamama,7.12,Manga (1 vols),Feb 2013 - Apr 2013
6332,Kaichou, Suki tte Ittemo Ii desu ka?,7.12,Manga (1 vols),May 2007 - Mar 2013
6333,Marmalade Boy Little,7.12,Manga (7 vols),Mar 2013 - Sep 2018
6334,Ore no Imouto ga Konnani Kawaii Wake ga Nai Comic Anthology,7.12,Manga (1 vols),Apr 2011 - Apr 2011
6335,Manager Kim,7.12,Manhwa (? vols),Oct 2021 -
6336,Kabushikigaisha Magi-Lumière,7.11,Manga (? vols),Oct 2021 -
6337,The Worn and Torn Newbie,7.11,Manhwa (? vols),Nov 2020 -
6338,Houkago wa Kissaten de,7.11,Manga (? vols),Jun 2017 -
6339,Kyuuketsuki Sugu Shinu,7.11,Manga (? vols),Jun 2015 -
6340,Oya ga Urusai node Kouhai (♀) to Gisou Kekkon Shitemita.,7.11,Manga (1 vols),Apr 2018 - Jun 2018
6341,Kitaku Tochuu de Yome to Musume ga Dekita n dakedo, Dragon datta.,7.11,Light Novel (? vols),Nov 2017 -
6342,Yotsukoto,7.11,Manga (2 vols),Aug 2016 - Dec 2018
6343,Kondo wa Zettai ni Jama Shimasen!,7.11,Manga (? vols),Oct 2018 -
6344,Blood Rain,7.13,Manhwa (5 vols),Nov 2014 - Apr 2016
6345,Fukushuu wo Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou suru,7.11,Light Novel (? vols),Feb 2019 -
6346,Jaken-san wa Sugu Bureru,7.11,Manga (11 vols),Dec 2018 - Jul 2021
6347,Nukenai Seiken-chan,7.11,Manga (6 vols),Oct 2018 - Sep 2020
6348,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,7.11,Manga (? vols),Aug 2018 -
6349,Tsuma, Shougakusei ni Naru.,7.11,Manga (? vols),Jul 2018 -
6350,Hentai Yoku Dekimashita,7.11,Manga (1 vols),Jun 2018 - Feb 2019
6351,Santairiku Eiyuuki,7.11,Manga (? vols),Dec 2019 -
6352,Tomodachi toshite Daisuki,7.11,Manga (3 vols),Jan 2020 - May 2021
6353,Shussan no Shikata ga Wakaranai!,7.11,Manga (1 vols),Oct 2015 - Jul 2016
6354,Musume ja Nakute Mama ga Suki nano!?,7.11,Manga (? vols),Sep 2020 -
6355,Henkyougurashi no Maou, Tensei shite Saikyou no Majutsushi ni Naru,7.11,Manga (? vols),Aug 2020 -
6356,Shin no Jitsuryoku wa Girigiri made Kakushiteiyou to Omou,7.11,Manga (? vols),Oct 2020 -
6357,Kanojo to Himitsu to Koi Moyou,7.11,Manga (2 vols),Nov 2019 - Jun 2021
6358,Kenja ga Nakama ni Natta!,7.11,Manga (3 vols),Mar 2021 - Jan 2022
6359,Tamamo no Koi,7.11,Manga (1 vols),Feb 2020 - Jul 2020
6360,Kyou kara Hajimeru Osananajimi,7.11,Manga (? vols),Apr 2021 -
6361,S to N,7.11,Manga (1 vols),Mar 2020 - Feb 2021
6362,3.3.7 Byooshi!!,7.11,Manga (10 vols),Jul 2001 - Jun 2003
6363,Silent Möbius,7.11,Manga (12 vols),1991 - 2003
6364,Cat Shit One,7.11,Manga (3 vols),Dec 1996 - Dec 2001
6365,Rose Hip Zero,7.11,Manga (5 vols),Apr 2005 - Mar 2006
6366,Mobile Suit Gundam SEED Astray R,7.11,Manga (4 vols),Oct 2002 - May 2004
6367,Umi no Yami, Tsuki no Kage,7.11,Manga (18 vols),May 1987 - Oct 1991
6368,Boogiepop wa Warawanai,7.11,Manga (2 vols),Aug 1999 - Jun 2002
6369,Zero Count,7.11,Manga (2 vols),2003 - 2003
6370,Aegis,7.11,Manhwa (5 vols),2002 - 2003
6371,Tales of Destiny,7.11,Manga (5 vols),Jul 2000 - Jan 2003
6372,Fire Emblem: Ankokuryuu to Hikari no Tsurugi,7.11,Manga (12 vols),Mar 1993 - Jan 1999
6373,Yokujou Climax,7.11,Manga (7 vols),Jun 2004 - Jul 2006
6374,Tona-Gura!,7.11,Manga (13 vols),Jan 2004 - Jul 2011
6375,Digimon Next,7.11,Manga (4 vols),Dec 2005 - Dec 2007
6376,Jungle Taitei,7.11,Manga (3 vols),Nov 1950 - Apr 1954
6377,Taiyou no Romance,7.11,Manga (5 vols),Apr 1999 - Dec 2004
6378,Tou no Kemono,7.11,Manga (1 vols),Apr 2003 - Apr 2004
6379,Vampire no Shouzou,7.11,Manga (2 vols),Mar 2007 - Jan 2008
6380,Kamen no Maid Guy,7.11,Manga (15 vols),Nov 2004 - Mar 2012
6381,Love SOS,7.11,Manhwa (10 vols),2001 -
6382,Kurogane no Linebarrel,7.11,Manga (25 vols),Dec 2004 - Apr 2015
6383,Ningyo Ouji,7.11,Manga (1 vols),2003 - 2003
6384,Kobatotei Ibun,7.11,Manga (1 vols),2004 - 2004
6385,Toki wo Kakeru Shoujo,7.11,Manga (2 vols),May 2003 - May 2004
6386,Coo no Sekai,7.11,Manga (2 vols),Nov 1999 - Nov 2000
6387,Honey Moon,7.11,Manga (1 vols),2003 - 2003
6388,Ookami ga Kuru!,7.11,Manga (2 vols),Oct 2005 - Jan 2007
6389,Jinzou Ningen Kikaida,7.11,Manga (6 vols),1972 - 1973
6390,Kana, Kamo.,7.11,Manga (4 vols),Jun 2006 - Dec 2008
6391,Saiyuukiden Daienou,7.11,Manga (? vols),1998 -
6392,Crown,7.11,Manga (6 vols),Dec 2005 - Oct 2008
6393,Romance Dawn,7.11,One-shot (? vols),1996 - 1996
6394,Doubt,7.11,Manga (4 vols),Jul 2007 - Feb 2009
6395,Koi Suta,7.11,Manga (1 vols),2008 - 2008
6396,Kyoukan Astro,7.11,Manga (? vols),Feb 2005 - Nov 2007
6397,Hitai ni Mikazuki,7.11,Manga (1 vols),May 2005 - Dec 2006
6398,Gekkou Teien,7.11,Manga (2 vols),2004 -
6399,White Garden,7.11,One-shot (? vols),-
6400,3-gatsu no Yume,7.11,Manga (1 vols),2007 -
6401,Boku no Himitsu wo Oshiete Ageru,7.11,Manga (1 vols),2006 - 2006
6402,Anta nante Okotowari!,7.11,Manga (1 vols),Nov 2007 - Feb 2008
6403,Promise,7.11,Manhwa (7 vols),2005 - 2005
6404,Suki, Kirai, Suki,7.11,Manga (1 vols),Jul 2000 - Jul 2000
6405,Seisei Suruhodo, Aishiteru,7.11,Manga (7 vols),2006 - 2009
6406,Honnou Chocolat,7.11,Manga (1 vols),2007 - 2008
6407,A Wolf Warning,7.11,Manhwa (7 vols),2006 - 2008
6408,Love! Love! Love!,7.11,Manga (3 vols),Feb 1998 - Jan 1999
6409,Peepo Choo,7.11,Manga (3 vols),Jul 2008 - Jan 2010
6410,Ichiroh!,7.11,Manga (5 vols),Apr 2007 - Apr 2010
6411,Shinanogawa,7.11,Manga (2 vols),Feb 1973 - Apr 1974
6412,Sakura no Hana Saku Koro,7.11,Manga (1 vols),Jan 1990 - Dec 1992
6413,Candy Boy,7.11,Manga (2 vols),Nov 2009 - Dec 2010
6414,Kirihara Mika no Yuuutsu,7.11,Manga (1 vols),Jan 2012 - Jan 2012
6415,Haru Niwa,7.11,Manga (1 vols),Oct 2011 - Apr 2015
6416,Watashi no Joushi,7.11,Manga (8 vols),Mar 2015 - Feb 2018
6417,Dasei 67 Percent,7.11,Manga (9 vols),Jul 2014 - Jun 2022
6418,Gakkougurashi! Anthology Comic: Kai,7.11,Manga (1 vols),Sep 2015 - Sep 2015
6419,Chitei Ryokou,7.11,Manga (4 vols),Sep 2015 - Oct 2017
6420,Angolmois: Genkou Kassenki,7.11,Manga (10 vols),Feb 2013 - Aug 2018
6421,Chuusotsu Worker kara Hajimeru Koukou Seikatsu,7.11,Manga (? vols),Oct 2012 -
6422,Wortenia Senki,7.11,Manga (? vols),Oct 2016 -
6423,Meshinuma.,7.11,Manga (? vols),Jan 2016 -
6424,Kimi to Wonderland,7.11,Manga (3 vols),Jun 2017 - Apr 2018
6425,Touko-san wa Kaji ga Dekinai.,7.11,Manga (? vols),Jun 2019 -
6426,Akairo Kousaten,7.11,Manga (3 vols),Jun 2016 - Feb 2018
6427,Gou-Dere Bishoujo Nagihara Sora♥,7.11,Manga (4 vols),Aug 2008 - Mar 2014
6428,Ginen Shounen,7.11,Manga (4 vols),Apr 2009 - Nov 2010
6429,Baka to Test to Shoukanjuu Dya,7.11,Manga (4 vols),Dec 2009 - Nov 2013
6430,Teiichi no Kuni,7.11,Manga (14 vols),May 2010 - Apr 2016
6431,Amagami: Sincerely Yours,7.11,Manga (1 vols),Oct 2009 - Jul 2010
6432,Ayahatori Shoukanchou,7.11,Manga (4 vols),Oct 2009 - Jul 2011
6433,Kimochi no Katachi,7.11,Manga (2 vols),2009 -
6434,Kingdom Hearts Another Report,7.11,Manga (? vols),Mar 2007 - Mar 2007
6435,Clover no Kuni no Alice: Sangatsu Usagi,7.11,Manga (1 vols),Nov 2010 - Nov 2010
6436,Junai Tokkou Taichou! Maji,7.11,Manga (4 vols),Aug 2009 - Dec 2010
6437,Gingitsune,7.11,Manga (? vols),Feb 2008 -
6438,Suiren,7.11,Manga (1 vols),Aug 2008 - Jan 2011
6439,Kimera,7.11,Manga (16 vols),-
6440,Sora no Otoshimono Pico,7.11,Manga (1 vols),Mar 2011 - Mar 2012
6441,Lingerie Logic,7.11,Manga (? vols),-
6442,Mada Amanogawa ni Ikenai,7.11,Manga (1 vols),Aug 2011 - Aug 2011
6443,Tomodachi Gokko,7.11,Manga (3 vols),Jan 2011 - Feb 2012
6444,Samurai Ragazzi: Sengoku Shounen Seihou Kenbunroku,7.11,Manga (10 vols),Aug 2010 - Jun 2014
6445,Cloud,7.11,Manga (? vols),2011 -
6446,Corpse Party: Book of Shadows,7.11,Manga (3 vols),Oct 2011 - Jan 2014
6447,Toshokan no Youkai,7.11,One-shot (? vols),Apr 2011 - Apr 2011
6448,Kimi wo Chuushin ni Sekai wa Mawaru,7.11,Manga (1 vols),Jun 2010 - Jun 2010
6449,Hana ni Omoeba,7.11,One-shot (? vols),May 2011 - May 2011
6450,Seishun Location,7.11,Manga (3 vols),Apr 2012 - Mar 2013
6451,Komorebi no Kuni,7.11,Manga (4 vols),Feb 2009 - Jun 2012
6452,I Am Currently Living with a Bear,7.11,One-shot (? vols),-
6453,Monster Hunter: Senkou no Kariudo,7.11,Manga (10 vols),May 2011 - Dec 2014
6454,Kage ni Saku Hana,7.11,Manga (1 vols),Dec 2009 - Sep 2010
6455,Parallel Lines,7.11,Manga (1 vols),Jun 2010 - Nov 2011
6456,Sis Plus,7.11,Manga (6 vols),Jul 2010 - Feb 2015
6457,Biorg Trinity,7.11,Manga (14 vols),Dec 2012 - Dec 2017
6458,Ikusaba Animation,7.11,Manga (3 vols),Jan 2013 - Dec 2013
6459,Itou-san,7.11,Manga (1 vols),Dec 2009 - Dec 2009
6460,Hiren Trip,7.11,Manga (2 vols),Feb 2013 - Oct 2013
6461,Shiryoku Kensa,7.11,Manga (3 vols),May 2013 - Mar 2016
6462,High Spec Lovers,7.11,One-shot (? vols),May 2013 - May 2013
6463,Ore no Imouto ga Konna ni Kawaii Wake ga Nai: 4-koma Koushiki Anthology,7.11,Manga (1 vols),Mar 2013 - Mar 2013
6464,Heart to Give,7.11,Manhwa (8 vols),2013 - 2015
6465,Number Girl,7.11,Manga (3 vols),Jun 2010 - Dec 2015
6466,Mitsuami no Kamisama,7.11,Manga (1 vols),Aug 2011 - May 2013
6467,Futari no Table,7.11,Manga (2 vols),Aug 2012 - Mar 2013
6468,Kagerou Daze Koushiki Anthology Comic: Upper,7.11,Manga (1 vols),Jan 2013 - Jan 2013
6469,Mikami-sensei no Aishikata,7.11,Manga (8 vols),Sep 2014 - Dec 2019
6470,Toaru Majutsu no Heavy na Zashiki Warashi ga Kantan na Satsujinki no Konkatsu Jijou,7.11,Light Novel (1 vols),Feb 2015 - Feb 2015
6471,Sakasama Cranberry,7.11,Manga (2 vols),Dec 2014 - Jun 2015
6472,Lasboss x Hero,7.10,Manga (4 vols),Oct 2012 - Apr 2014
6473,Hammer Session! in High School,7.10,Manga (3 vols),May 2010 - Nov 2010
6474,Fragtime,7.10,Manga (2 vols),Mar 2013 - Sep 2014
6475,Hayachine!,7.10,Manga (5 vols),Oct 2011 - Jul 2014
6476,Grancrest Senki,7.10,Light Novel (10 vols),Aug 2013 - Mar 2018
6477,Nietzsche-sensei: Conveni ni, Satori Sedai no Shinjin ga Maiorita,7.10,Manga (? vols),Aug 2013 -
