Rank,Title,Score,Chapters/Volumes,Published
80,Shigatsu wa Kimi no Uso,8.60,Manga (11 vols),Apr 2011 - Feb 2015
81,Sousou no Frieren,8.59,Manga (? vols),Apr 2020 -
82,Tian Guan Ci Fu,8.58,Manhua (? vols),Oct 2019 -
83,Kino no Tabi: The Beautiful World,8.58,Light Novel (? vols),Mar 2000 -
84,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.58,Manga (18 vols),Apr 1992 - Nov 1995
85,Pandora Hearts,8.58,Manga (24 vols),May 2006 - Mar 2015
86,Seishun Buta Yarou Series,8.58,Light Novel (? vols),Apr 2014 -
87,Given,8.58,Manga (? vols),Apr 2013 -
88,Shingeki no Kyojin,8.57,Manga (34 vols),Sep 2009 - Apr 2021
89,Rurouni Kenshin: Meiji Kenkaku Romantan,8.57,Manga (28 vols),Apr 1994 - Sep 1999
90,Skip Beat!,8.57,Manga (? vols),Feb 2002 -
91,One Outs,8.57,Manga (20 vols),Nov 1998 - Aug 2006
92,Neon Genesis Evangelion,8.56,Manga (14 vols),Dec 1994 - Jun 2013
93,Hi no Tori (1967),8.56,Manga (16 vols),Dec 1966 - Feb 1988
94,Baccano!,8.56,Light Novel (? vols),Feb 2003 -
95,Suzumiya Haruhi Series,8.56,Light Novel (? vols),Jun 2003 -
96,Ginga Eiyuu Densetsu,8.56,Novel (10 vols),Nov 1982 - Nov 1987
97,Otoyomegatari,8.56,Manga (? vols),Oct 2008 -
98,Watashitachi no Shiawase na Jikan,8.56,Manga (1 vols),Mar 2008 - Aug 2008
99,Diamond no Ace Act II,8.56,Manga (? vols),Aug 2015 -
100,Tongari Boushi no Atelier,8.55,Manga (? vols),Jul 2016 -
101,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,8.55,Light Novel (5 vols),Nov 2014 - Apr 2016
102,Jujutsu Kaisen,8.55,Manga (? vols),Mar 2018 -
103,Kara no Kyoukai: The Garden of Sinners,8.55,Light Novel (2 vols),Oct 1998 - Aug 1999
104,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.55,Manga (9 vols),Apr 2011 - Mar 2015
105,Kakukaku Shikajika,8.55,Manga (5 vols),Nov 2011 - Jan 2015
106,Sasaki to Miyano,8.54,Manga (? vols),Feb 2016 -
107,Bastard,8.54,Manhwa (5 vols),Jul 2014 - May 2016
108,Bungou Stray Dogs: Beast,8.53,Manga (4 vols),Dec 2019 - Jan 2022
109,Sakamichi no Apollon,8.53,Manga (9 vols),Sep 2007 - Jan 2012
110,Kidou Senshi Gundam: The Origin,8.53,Manga (24 vols),Jun 2001 - Jun 2014
111,Fate/Zero,8.53,Light Novel (4 vols),Dec 2006 - Dec 2007
112,Kamisama Hajimemashita,8.53,Manga (25 vols),Feb 2008 - May 2016
113,Chihayafuru,8.53,Manga (50 vols),Dec 2007 - Aug 2022
114,Fruits Basket,8.52,Manga (23 vols),Jul 1998 - Nov 2006
115,"Oshi no Ko",8.52,Manga (? vols),Apr 2020 -
116,Tobaku Datenroku Kaiji: One Poker-hen,8.52,Manga (16 vols),Jun 2013 - Aug 2017
117,Ohayou, Ibarahime,8.52,Manga (6 vols),Nov 2014 - May 2017
118,Tokyo Ghoul,8.52,Manga (14 vols),Sep 2011 - Sep 2014
119,Chikan Otoko,8.52,Manga (? vols),2004 - 2004
120,Shimanami Tasogare,8.52,Manga (4 vols),Mar 2015 - May 2018
121,Vanitas no Karte,8.51,Manga (? vols),Dec 2015 -
122,Bakemonogatari,8.51,Manga (? vols),Mar 2018 -
123,Ouran Koukou Host Club,8.51,Manga (18 vols),Jul 2002 - Sep 2010
124,Spirit Circle,8.51,Manga (6 vols),May 2012 - Mar 2016
