Rank,Title,Score,Chapters/Volumes,Published,Link
44,Sayonara Eri,8.74,Manga (1 vols),Apr 2022 - Apr 2022,https://myanimelist.net/manga/145863/Sayonara_Eri
45,Kono Oto Tomare!,8.71,Manga (? vols),Aug 2012 -,https://myanimelist.net/manga/45143/Kono_Oto_Tomare
46,Yokohama Kaidashi Kikou,8.71,Manga (14 vols),Apr 1994 - Feb 2006,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou
47,Hunter x Hunter,8.71,Manga (36 vols),Mar 1998 - Nov 2018,https://myanimelist.net/manga/26/Hunter_x_Hunter
48,Natsume Yuujinchou,8.71,Manga (? vols),Jun 2003 -,https://myanimelist.net/manga/1859/Natsume_Yuujinchou
49,Solo Leveling,8.71,Manhwa (? vols),Mar 2018 - Dec 2021,https://myanimelist.net/manga/121496/Solo_Leveling
50,The Horizon,8.71,Manhwa (3 vols),Mar 2016 - Jul 2016,https://myanimelist.net/manga/125036/The_Horizon
51,Blue Period,8.70,Manga (? vols),Jun 2017 -,https://myanimelist.net/manga/107931/Blue_Period
52,Shoujo Shuumatsu Ryokou,8.70,Manga (6 vols),Feb 2014 - Jan 2018,https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou
53,Death Note,8.70,Manga (12 vols),Dec 2003 - May 2006,https://myanimelist.net/manga/21/Death_Note
54,Akira,8.69,Manga (6 vols),Dec 1982 - Jun 1990,https://myanimelist.net/manga/664/Akira
55,Koten-bu Series,8.69,Novel (? vols),Oct 2001 -,https://myanimelist.net/manga/35513/Koten-bu_Series
56,Hajime no Ippo,8.68,Manga (? vols),Sep 1989 -,https://myanimelist.net/manga/7/Hajime_no_Ippo
57,Beck,8.68,Manga (34 vols),Feb 2000 - Jun 2008,https://myanimelist.net/manga/145/Beck
58,Dorohedoro,8.68,Manga (23 vols),Nov 2000 - Sep 2018,https://myanimelist.net/manga/1133/Dorohedoro
59,Spy x Family,8.67,Manga (? vols),Mar 2019 -,https://myanimelist.net/manga/119161/Spy_x_Family
60,Yagate Kimi ni Naru,8.67,Manga (8 vols),Apr 2015 - Sep 2019,https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru
61,ReLIFE,8.66,Manga (15 vols),Oct 2013 - Mar 2018,https://myanimelist.net/manga/78523/ReLIFE
62,Overlord,8.66,Light Novel (? vols),Jul 2012 -,https://myanimelist.net/manga/81669/Overlord
63,Kozure Ookami,8.66,Manga (28 vols),Sep 1970 - Apr 1976,https://myanimelist.net/manga/904/Kozure_Ookami
64,Zaregoto Series,8.65,Light Novel (9 vols),Feb 2002 - Nov 2005,https://myanimelist.net/manga/9726/Zaregoto_Series
65,Banana Fish,8.64,Manga (19 vols),Apr 1985 - Mar 1994,https://myanimelist.net/manga/756/Banana_Fish
66,Kokou no Hito,8.64,Manga (17 vols),2007 - 2012,https://myanimelist.net/manga/7375/Kokou_no_Hito
67,Violet Evergarden,8.64,Light Novel (2 vols),Dec 2015 - Dec 2016,https://myanimelist.net/manga/98930/Violet_Evergarden
68,Kimi no Suizou wo Tabetai,8.64,Novel (1 vols),Jun 2015 - Jun 2015,https://myanimelist.net/manga/117077/Kimi_no_Suizou_wo_Tabetai
69,Shinyaku Toaru Majutsu no Index,8.64,Light Novel (23 vols),Mar 2011 - Jul 2019,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index
70,Aria,8.63,Manga (12 vols),Feb 2002 - Feb 2008,https://myanimelist.net/manga/81/Aria
71,Kono Subarashii Sekai ni Shukufuku wo!,8.63,Light Novel (17 vols),Oct 2013 - May 2020,https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo
72,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.63,Light Novel (? vols),Jan 2015 -,https://myanimelist.net/manga/86119/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen
73,Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka,8.63,Manga (4 vols),Oct 2017 - Sep 2019,https://myanimelist.net/manga/114043/Umarekawattemo_Mata_Watashi_to_Kekkon_shitekuremasu_ka
74,Wind Breaker,8.63,Manhwa (? vols),Dec 2013 -,https://myanimelist.net/manga/103237/Wind_Breaker
75,Gintama,8.62,Manga (77 vols),Dec 2003 - Jun 2019,https://myanimelist.net/manga/44/Gintama
76,Pluto,8.61,Manga (8 vols),Sep 2003 - Apr 2009,https://myanimelist.net/manga/745/Pluto
77,Jibaku Shounen Hanako-kun,8.60,Manga (? vols),Dec 2014 -,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun
78,Shigatsu wa Kimi no Uso,8.60,Manga (11 vols),Apr 2011 - Feb 2015,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso
79,Mob Psycho 100,8.60,Manga (16 vols),Apr 2012 - Dec 2017,https://myanimelist.net/manga/60783/Mob_Psycho_100
80,Golden Kamuy,8.60,Manga (31 vols),Aug 2014 - Apr 2022,https://myanimelist.net/manga/85968/Golden_Kamuy
81,Sousou no Frieren,8.59,Manga (? vols),Apr 2020 -,https://myanimelist.net/manga/126287/Sousou_no_Frieren
82,Tian Guan Ci Fu,8.58,Manhua (? vols),Oct 2019 -,https://myanimelist.net/manga/140765/Tian_Guan_Ci_Fu
83,Kino no Tabi: The Beautiful World,8.58,Light Novel (? vols),Mar 2000 -,https://myanimelist.net/manga/399/Kino_no_Tabi__The_Beautiful_World
84,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.58,Manga (18 vols),Apr 1992 - Nov 1995,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
85,Pandora Hearts,8.58,Manga (24 vols),May 2006 - Mar 2015,https://myanimelist.net/manga/3031/Pandora_Hearts
86,Seishun Buta Yarou Series,8.58,Light Novel (? vols),Apr 2014 -,https://myanimelist.net/manga/70399/Seishun_Buta_Yarou_Series
87,Given,8.58,Manga (? vols),Apr 2013 -,https://myanimelist.net/manga/79085/Given
88,Rurouni Kenshin: Meiji Kenkaku Romantan,8.57,Manga (28 vols),Apr 1994 - Sep 1999,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
89,Skip Beat!,8.57,Manga (? vols),Feb 2002 -,https://myanimelist.net/manga/610/Skip_Beat
90,One Outs,8.57,Manga (20 vols),Nov 1998 - Aug 2006,https://myanimelist.net/manga/11327/One_Outs
91,Shingeki no Kyojin,8.57,Manga (34 vols),Sep 2009 - Apr 2021,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin
92,Diamond no Ace Act II,8.56,Manga (? vols),Aug 2015 -,https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II
93,Tongari Boushi no Atelier,8.56,Manga (? vols),Jul 2016 -,https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier
94,Neon Genesis Evangelion,8.56,Manga (14 vols),Dec 1994 - Jun 2013,https://myanimelist.net/manga/698/Neon_Genesis_Evangelion
95,Hi no Tori (1967),8.56,Manga (16 vols),Dec 1966 - Feb 1988,https://myanimelist.net/manga/1325/Hi_no_Tori_1967
96,Baccano!,8.56,Light Novel (? vols),Feb 2003 -,https://myanimelist.net/manga/1342/Baccano
97,Ginga Eiyuu Densetsu,8.56,Novel (10 vols),Nov 1982 - Nov 1987,https://myanimelist.net/manga/6978/Ginga_Eiyuu_Densetsu
98,Otoyomegatari,8.56,Manga (? vols),Oct 2008 -,https://myanimelist.net/manga/11514/Otoyomegatari
99,Watashitachi no Shiawase na Jikan,8.56,Manga (1 vols),Mar 2008 - Aug 2008,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan
100,Kara no Kyoukai: The Garden of Sinners,8.55,Light Novel (2 vols),Oct 1998 - Aug 1999,https://myanimelist.net/manga/2062/Kara_no_Kyoukai__The_Garden_of_Sinners
101,Suzumiya Haruhi Series,8.55,Light Novel (? vols),Jun 2003 -,https://myanimelist.net/manga/3083/Suzumiya_Haruhi_Series
102,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.55,Manga (9 vols),Apr 2011 - Mar 2015,https://myanimelist.net/manga/23900/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_7__Requiem_of_the_Golden_Witch
103,Kakukaku Shikajika,8.55,Manga (5 vols),Nov 2011 - Jan 2015,https://myanimelist.net/manga/44307/Kakukaku_Shikajika
104,Jujutsu Kaisen,8.55,Manga (? vols),Mar 2018 -,https://myanimelist.net/manga/113138/Jujutsu_Kaisen
105,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,8.55,Light Novel (5 vols),Nov 2014 - Apr 2016,https://myanimelist.net/manga/81211/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka
106,Sasaki to Miyano,8.54,Manga (? vols),Feb 2016 -,https://myanimelist.net/manga/101396/Sasaki_to_Miyano
107,Sakamichi no Apollon,8.53,Manga (9 vols),Sep 2007 - Jan 2012,https://myanimelist.net/manga/28393/Sakamichi_no_Apollon
108,Kidou Senshi Gundam: The Origin,8.53,Manga (24 vols),Jun 2001 - Jun 2014,https://myanimelist.net/manga/214/Kidou_Senshi_Gundam__The_Origin
109,Fate/Zero,8.53,Light Novel (4 vols),Dec 2006 - Dec 2007,https://myanimelist.net/manga/3649/Fate_Zero
