Rank,Title,Score,Chapters/Volumes,Published,Link
3652,Akaku Saku Koe,7.37,Manga (3 vols),Dec 1998 - Dec 2000,https://myanimelist.net/manga/5062/Akaku_Saku_Koe
3653,Mimi wo Sumaseba,7.37,Manga (1 vols),Jul 1989 - Oct 1989,https://myanimelist.net/manga/5228/Mimi_wo_Sumaseba
3654,Naked,7.37,Manga (1 vols),2002 - Mar 2003,https://myanimelist.net/manga/5352/Naked
3655,Inugami,7.37,Manga (14 vols),Jan 1997 - Nov 2002,https://myanimelist.net/manga/5413/Inugami
3656,Haigakura,7.37,Manga (? vols),Jan 2008 -,https://myanimelist.net/manga/7429/Haigakura
3657,Sora Oto,7.37,Manga (2 vols),2008 - 2008,https://myanimelist.net/manga/8509/Sora_Oto
3658,Sakura Zensen,7.37,Manga (6 vols),Jan 2006 - Dec 2007,https://myanimelist.net/manga/10281/Sakura_Zensen
3659,Suna no Shiro,7.37,Manga (7 vols),1977 - 1979,https://myanimelist.net/manga/10780/Suna_no_Shiro
3660,Hekikai no AiON,7.37,Manga (11 vols),Jul 2008 - Jul 2012,https://myanimelist.net/manga/11156/Hekikai_no_AiON
3661,Umi no Kishidan,7.37,Manga (17 vols),Mar 2005 - Mar 2010,https://myanimelist.net/manga/11919/Umi_no_Kishidan
3662,Alexandrite,7.37,Manga (7 vols),Apr 1991 - Nov 1994,https://myanimelist.net/manga/12385/Alexandrite
3663,Helen ESP,7.37,Manga (2 vols),May 2007 - Jun 2010,https://myanimelist.net/manga/13511/Helen_ESP
3664,Boys on the Run,7.37,Manga (10 vols),2005 - Jun 2008,https://myanimelist.net/manga/14856/Boys_on_the_Run
3665,Will o' Wisp,7.37,Manga (2 vols),2008 - 2010,https://myanimelist.net/manga/14990/Will_o_Wisp
3666,Kitchen no Ohimesama: Tenshi no Cake wo Sagase!,7.37,Light Novel (1 vols),Mar 2008 - Mar 2008,https://myanimelist.net/manga/17263/Kitchen_no_Ohimesama__Tenshi_no_Cake_wo_Sagase
3667,Love & Noise!,7.37,Manga (1 vols),May 2009 - May 2009,https://myanimelist.net/manga/17633/Love___Noise
3668,Seijo no Maryoku wa Bannou desu,7.37,Light Novel (? vols),Feb 2017 -,https://myanimelist.net/manga/111629/Seijo_no_Maryoku_wa_Bannou_desu
3669,Citrus: Comic Anthology,7.37,Manga (1 vols),Feb 2018 - Feb 2018,https://myanimelist.net/manga/112903/Citrus__Comic_Anthology
3670,Arifureta Shokugyou de Sekai Saikyou Zero,7.37,Manga (? vols),Feb 2018 -,https://myanimelist.net/manga/112907/Arifureta_Shokugyou_de_Sekai_Saikyou_Zero
3671,Manga Reportage: Chuunen Doutei,7.37,Manga (1 vols),Oct 2015 - Jul 2016,https://myanimelist.net/manga/114555/Manga_Reportage__Chuunen_Doutei
3672,Hayama-sensei to Terano-sensei wa Tsukiatteiru,7.37,Manga (4 vols),Jun 2018 - Feb 2021,https://myanimelist.net/manga/114702/Hayama-sensei_to_Terano-sensei_wa_Tsukiatteiru
3673,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,7.37,Manga (? vols),Aug 2018 -,https://myanimelist.net/manga/115774/Magia_Record__Mahou_Shoujo_Madoka☆Magica_Gaiden
3674,Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru,7.37,Light Novel (? vols),Feb 2019 -,https://myanimelist.net/manga/120548/Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru
3675,Kodomo no Kamisama,7.37,One-shot (? vols),Sep 2015 - Sep 2015,https://myanimelist.net/manga/121207/Kodomo_no_Kamisama
3676,Isekai Shikkaku,7.37,Manga (? vols),Oct 2019 -,https://myanimelist.net/manga/122150/Isekai_Shikkaku
3677,Koe ga Dasenai Shoujo wa "Kanojo ga Yasashisugiru" to Omotteiru,7.37,Manga (? vols),Feb 2020 -,https://myanimelist.net/manga/124644/Koe_ga_Dasenai_Shoujo_wa_Kanojo_ga_Yasashisugiru_to_Omotteiru
3678,Furyou Taimashi Reina,7.37,Manga (6 vols),Oct 2018 - Oct 2021,https://myanimelist.net/manga/125892/Furyou_Taimashi_Reina
3679,Great Pretender,7.37,Manga (? vols),Jun 2020 -,https://myanimelist.net/manga/127039/Great_Pretender
3680,Unnamed Memory,7.37,Manga (? vols),Sep 2020 -,https://myanimelist.net/manga/130524/Unnamed_Memory
3681,Tsurenai Kanojo no Hitorijime,7.37,Manga (? vols),Apr 2021 -,https://myanimelist.net/manga/136683/Tsurenai_Kanojo_no_Hitorijime
3682,Kamisama Hajimemashita: Sonogo no Futari,7.36,One-shot (? vols),Dec 2016 - Dec 2016,https://myanimelist.net/manga/110668/Kamisama_Hajimemashita__Sonogo_no_Futari
3683,Kami-tachi ni Hirowareta Otoko,7.36,Manga (? vols),Nov 2017 -,https://myanimelist.net/manga/111228/Kami-tachi_ni_Hirowareta_Otoko
3684,Seibetsu "Mona Lisa" no Kimi e.,7.36,Manga (? vols),May 2018 -,https://myanimelist.net/manga/114381/Seibetsu_Mona_Lisa_no_Kimi_e
3685,Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru,7.36,Light Novel (? vols),Nov 2017 -,https://myanimelist.net/manga/115165/Boushoku_no_Berserk__Ore_dake_Level_to_Iu_Gainen_wo_Toppa_suru
3686,Tokyo Ghoul:re: Quest,7.36,Light Novel (1 vols),Dec 2016 - Dec 2016,https://myanimelist.net/manga/115800/Tokyo_Ghoul_re__Quest
3687,Azur Lane: Bisoku Zenshin!,7.36,Manga (? vols),Apr 2018 -,https://myanimelist.net/manga/115955/Azur_Lane__Bisoku_Zenshin
3688,Wu Dong Qian Kun,7.36,Manhua (? vols),Oct 2013 -,https://myanimelist.net/manga/116897/Wu_Dong_Qian_Kun
3689,Tondemo Skill de Isekai Hourou Meshi: Sui no Daibouken,7.36,Manga (? vols),Aug 2018 -,https://myanimelist.net/manga/117884/Tondemo_Skill_de_Isekai_Hourou_Meshi__Sui_no_Daibouken
3690,Yajin Tensei,7.36,Manga (? vols),May 2019 -,https://myanimelist.net/manga/120309/Yajin_Tensei
3691,Amakunai Karera no Nichijou wa.,7.36,Manga (7 vols),Jan 2019 - Sep 2021,https://myanimelist.net/manga/120389/Amakunai_Karera_no_Nichijou_wa
3692,Kimi ga Shine: Tasuuketsu Death Game,7.36,Manga (? vols),Mar 2019 -,https://myanimelist.net/manga/121000/Kimi_ga_Shine__Tasuuketsu_Death_Game
3693,Wizdoms no Kemono-tachi,7.36,Manga (1 vols),Oct 2015 - Jun 2017,https://myanimelist.net/manga/123465/Wizdoms_no_Kemono-tachi
3694,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,7.36,Manga (? vols),Mar 2020 -,https://myanimelist.net/manga/129759/Isekai_Mokushiroku_Mynoghra__Hametsu_no_Bunmei_de_Hajimeru_Sekai_Seifuku
3695,Ore wa Seikan Kokka no Akutoku Ryoushu!,7.36,Light Novel (? vols),Jul 2020 -,https://myanimelist.net/manga/129988/Ore_wa_Seikan_Kokka_no_Akutoku_Ryoushu
3696,Mom, I'm Sorry,7.36,Manhwa (? vols),Jun 2019 - Jul 2021,https://myanimelist.net/manga/133163/Mom_Im_Sorry
3697,Like Wind on a Dry Branch,7.36,Manhwa (? vols),Sep 2020 -,https://myanimelist.net/manga/134707/Like_Wind_on_a_Dry_Branch
3698,Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.,7.36,Manga (? vols),May 2021 -,https://myanimelist.net/manga/137004/Class_no_Daikirai_na_Joshi_to_Kekkon_suru_Koto_ni_Natta
3699,Yatara to Sasshi no Ii Ore wa, Dokuzetsu Kuudere Bishoujo no Chiisana Dere mo Minogasazu ni Guigui Iku,7.36,Light Novel (? vols),Jul 2020 -,https://myanimelist.net/manga/139591/Yatara_to_Sasshi_no_Ii_Ore_wa_Dokuzetsu_Kuudere_Bishoujo_no_Chiisana_Dere_mo_Minogasazu_ni_Guigui_Iku
3700,Isekai Tensei Soudouki,7.36,Light Novel (? vols),Mar 2014 -,https://myanimelist.net/manga/89704/Isekai_Tensei_Soudouki
3701,No Guns Life,7.36,Manga (13 vols),Sep 2014 - Sep 2021,https://myanimelist.net/manga/90423/No_Guns_Life
3702,Wakabaryou de, Kimi to,7.36,Manga (1 vols),Feb 2015 - Feb 2015,https://myanimelist.net/manga/91581/Wakabaryou_de_Kimi_to
3703,Kanojo to Kanojo no Neko,7.36,Manga (1 vols),Feb 2016 - May 2016,https://myanimelist.net/manga/96334/Kanojo_to_Kanojo_no_Neko
3704,Tada, Soredake de Yokatta ndesu,7.36,Light Novel (1 vols),Feb 2016 - Feb 2016,https://myanimelist.net/manga/96642/Tada_Soredake_de_Yokatta_ndesu
3705,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,7.36,Light Novel (? vols),Aug 2016 -,https://myanimelist.net/manga/99627/Jidou_Hanbaiki_ni_Umarekawatta_Ore_wa_Meikyuu_wo_Samayou
3706,Subaru to Suu-san,7.36,Manga (? vols),Aug 2016 -,https://myanimelist.net/manga/100753/Subaru_to_Suu-san
3707,Mimi Mix!,7.36,Manga (3 vols),Nov 2016 - May 2018,https://myanimelist.net/manga/104555/Mimi_Mix
3708,Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,7.36,Manga (? vols),Apr 2017 -,https://myanimelist.net/manga/106810/Chiyu_Mahou_no_Machigatta_Tsukaikata__Senjou_wo_Kakeru_Kaifuku_Youin
3709,Kanojo ni Naru Hi,7.36,Manga (4 vols),Jun 2013 - Mar 2017,https://myanimelist.net/manga/54817/Kanojo_ni_Naru_Hi
3710,Strange Dragon,7.36,Manga (3 vols),Sep 2013 - Feb 2015,https://myanimelist.net/manga/64271/Strange_Dragon
3711,Clockwork Planet,7.36,Manga (10 vols),Sep 2013 - Aug 2018,https://myanimelist.net/manga/65155/Clockwork_Planet
3712,All Out!!,7.36,Manga (17 vols),Nov 2012 - Nov 2019,https://myanimelist.net/manga/70739/All_Out
3713,Umi no Cradle,7.36,Manga (4 vols),Aug 2013 - Aug 2016,https://myanimelist.net/manga/71701/Umi_no_Cradle
3714,Blood Lad,7.36,Light Novel (1 vols),Jun 2013 - Jun 2013,https://myanimelist.net/manga/80055/Blood_Lad
3715,Koisaku Potager,7.36,Manga (1 vols),Apr 2014 - Nov 2014,https://myanimelist.net/manga/81435/Koisaku_Potager
3716,Nanokakan Shokudou,7.36,One-shot (? vols),Jun 2021 - Jun 2021,https://myanimelist.net/manga/140168/Nanokakan_Shokudou
3717,The World After the Fall,7.36,Manhwa (? vols),Feb 2022 -,https://myanimelist.net/manga/147217/The_World_After_the_Fall
3718,Miss Not-So Sidekick,7.36,Manhwa (? vols),Dec 2017 - May 2022,https://myanimelist.net/manga/147827/Miss_Not-So_Sidekick
3719,Tactics,7.36,Manga (15 vols),Dec 2000 - 2013,https://myanimelist.net/manga/87/Tactics
3720,Missile Happy!,7.36,Manga (5 vols),2000 -,https://myanimelist.net/manga/450/Missile_Happy
3721,Mugen Spiral,7.36,Manga (2 vols),Jan 2004 - Oct 2004,https://myanimelist.net/manga/459/Mugen_Spiral
3722,Platinum Garden,7.36,Manga (15 vols),Apr 2001 - Jun 2006,https://myanimelist.net/manga/482/Platinum_Garden
3723,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.36,Manga (1 vols),1999 - 1999,https://myanimelist.net/manga/931/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku
3724,Chuuka Ichiban!,7.36,Manga (5 vols),Sep 1995 - Oct 1996,https://myanimelist.net/manga/944/Chuuka_Ichiban
3725,Akkan Baby,7.36,Manga (3 vols),May 2001 - Feb 2002,https://myanimelist.net/manga/1432/Akkan_Baby
3726,Real/Fake Princess,7.36,Manhua (5 vols),2002 -,https://myanimelist.net/manga/1452/Real_Fake_Princess
3727,Global Garden,7.36,Manga (8 vols),2001 - 2005,https://myanimelist.net/manga/1535/Global_Garden
3728,Mirai Nikki: Mosaic,7.36,Manga (1 vols),Nov 2008 - Nov 2008,https://myanimelist.net/manga/1543/Mirai_Nikki__Mosaic
3729,Shurayuki-hime,7.36,Manga (3 vols),Feb 1972 - Feb 1973,https://myanimelist.net/manga/1672/Shurayuki-hime
3730,Jackals,7.36,Manga (7 vols),Dec 2005 - Sep 2008,https://myanimelist.net/manga/1673/Jackals
3731,Ai no Tame ni,7.36,Manga (1 vols),Jul 2001 - Aug 2002,https://myanimelist.net/manga/3020/Ai_no_Tame_ni
3732,Full House,7.36,Manhwa (16 vols),2002 - 2007,https://myanimelist.net/manga/4770/Full_House
3733,Rurouni Kenshin: Voyage to the Moon World,7.36,Light Novel (1 vols),Oct 1996 - Oct 1996,https://myanimelist.net/manga/4795/Rurouni_Kenshin__Voyage_to_the_Moon_World
3734,Momoiro Heaven!,7.36,Manga (13 vols),Jan 2007 - Dec 2012,https://myanimelist.net/manga/5169/Momoiro_Heaven
3735,Pheromomania Syndrome,7.36,Manga (10 vols),Oct 2002 - Apr 2008,https://myanimelist.net/manga/5901/Pheromomania_Syndrome
3736,Fake Second,7.36,Doujinshi (? vols),2010 -,https://myanimelist.net/manga/6138/Fake_Second
3737,Zenbu Shiritai♡,7.36,Manga (1 vols),Feb 2008 - Feb 2008,https://myanimelist.net/manga/7752/Zenbu_Shiritai♡
3738,Yasuko to Kenji,7.36,Manga (6 vols),2005 -,https://myanimelist.net/manga/7934/Yasuko_to_Kenji
3739,Hoshi-iro no Okurimono,7.36,Manga (1 vols),Apr 2007 - Feb 2008,https://myanimelist.net/manga/9261/Hoshi-iro_no_Okurimono
3740,Sarasah,7.36,Manhwa (? vols),2007 -,https://myanimelist.net/manga/9615/Sarasah
3741,Akage no Anne,7.36,Manga (3 vols),1997 - 1997,https://myanimelist.net/manga/10282/Akage_no_Anne
3742,Suki nan desu,7.36,One-shot (? vols),2008 - 2008,https://myanimelist.net/manga/10707/Suki_nan_desu
3743,Haikei, Nanashi-sama,7.36,One-shot (? vols),Nov 2008 - Nov 2008,https://myanimelist.net/manga/12412/Haikei_Nanashi-sama
3744,Spiral,7.36,Novel (1 vols),1995 - 1995,https://myanimelist.net/manga/13585/Spiral
3745,Monochrome Kitan,7.36,Manga (2 vols),Feb 2009 - Sep 2010,https://myanimelist.net/manga/14850/Monochrome_Kitan
3746,Kataomoi no Mukougawa,7.36,Manga (1 vols),2007 - 2009,https://myanimelist.net/manga/15045/Kataomoi_no_Mukougawa
3747,Nurarihyon no Mago,7.36,One-shot (? vols),2006 - 2006,https://myanimelist.net/manga/16532/Nurarihyon_no_Mago
3748,Ookami Lover,7.36,One-shot (? vols),Jul 2007 - Jul 2007,https://myanimelist.net/manga/18528/Ookami_Lover
3749,Kiben Gakuha, Yotsuya-senpai no Kaidan.,7.36,Manga (3 vols),Mar 2010 - Jul 2010,https://myanimelist.net/manga/19167/Kiben_Gakuha_Yotsuya-senpai_no_Kaidan
3750,I'm Looking for the Princess,7.36,Manhwa (10 vols),Jul 2008 - Aug 2008,https://myanimelist.net/manga/19878/Im_Looking_for_the_Princess
3751,Love Share,7.36,Manga (1 vols),2010 -,https://myanimelist.net/manga/19931/Love_Share
3752,Heart no Kuni no Alice: Boushiya to Shinya no Ochakai,7.36,Manga (2 vols),Dec 2010 - Jul 2011,https://myanimelist.net/manga/23604/Heart_no_Kuni_no_Alice__Boushiya_to_Shinya_no_Ochakai
3753,Hatsukoi Hakusho,7.36,Manga (1 vols),2009 -,https://myanimelist.net/manga/23854/Hatsukoi_Hakusho
3754,Higurashi no Naku Koro ni Jan: Tsubamegaeshi-hen,7.36,Manga (2 vols),Jan 2010 - Feb 2011,https://myanimelist.net/manga/24355/Higurashi_no_Naku_Koro_ni_Jan__Tsubamegaeshi-hen
3755,Kingdom Hearts: Chain of Memories,7.36,Light Novel (3 vols),Oct 2005 - Jan 2006,https://myanimelist.net/manga/24413/Kingdom_Hearts__Chain_of_Memories
3756,Super Doctor K,7.36,Manga (44 vols),Mar 1988 - Sep 1996,https://myanimelist.net/manga/24476/Super_Doctor_K
3757,Bestiarius,7.36,Manga (7 vols),Feb 2011 - Dec 2018,https://myanimelist.net/manga/24637/Bestiarius
3758,Shin Kidou Senki Gundam Wing: Endless Waltz - Haisha-tachi no Eikou,7.36,Manga (14 vols),Sep 2010 - Nov 2017,https://myanimelist.net/manga/24679/Shin_Kidou_Senki_Gundam_Wing__Endless_Waltz_-_Haisha-tachi_no_Eikou
3759,Miss Princess!,7.36,Manga (4 vols),Nov 2010 - Feb 2012,https://myanimelist.net/manga/31657/Miss_Princess
3760,Shin Kozure Ookami: Lone Wolf,7.36,Manga (11 vols),2003 - 2006,https://myanimelist.net/manga/34295/Shin_Kozure_Ookami__Lone_Wolf
3761,Again!!,7.36,Manga (12 vols),Apr 2011 - Apr 2014,https://myanimelist.net/manga/35013/Again
3762,Hachimitsu ni Hatsukoi,7.36,Manga (12 vols),May 2012 - Apr 2015,https://myanimelist.net/manga/37385/Hachimitsu_ni_Hatsukoi
3763,Wanko ni Kuchizuke,7.36,Manga (6 vols),Aug 2011 - Jun 2015,https://myanimelist.net/manga/43855/Wanko_ni_Kuchizuke
3764,Tsukikage Baby,7.36,Manga (9 vols),Nov 2012 - Mar 2017,https://myanimelist.net/manga/44591/Tsukikage_Baby
3765,Shuumatsu no Laughter,7.36,Manga (1 vols),Nov 2012 - Dec 2012,https://myanimelist.net/manga/45773/Shuumatsu_no_Laughter
3766,Nekoka Danshi no Shitsukekata,7.36,Manga (5 vols),Sep 2009 - Jun 2014,https://myanimelist.net/manga/46896/Nekoka_Danshi_no_Shitsukekata
3767,Wet Moon,7.36,Manga (3 vols),May 2011 - Oct 2013,https://myanimelist.net/manga/47921/Wet_Moon
3768,Latin,7.36,Manga (1 vols),Oct 2011 - Feb 2012,https://myanimelist.net/manga/49003/Latin
3769,HajiOtsu.,7.36,Manga (5 vols),Sep 2010 - Mar 2014,https://myanimelist.net/manga/49809/HajiOtsu
3770,Tales of the Abyss: Tsuioku no Jade,7.35,Manga (2 vols),Apr 2009 - Dec 2009,https://myanimelist.net/manga/18017/Tales_of_the_Abyss__Tsuioku_no_Jade
3771,Ginga Densetsu Weed Gaiden,7.35,Manga (1 vols),2001 -,https://myanimelist.net/manga/18607/Ginga_Densetsu_Weed_Gaiden
3772,Kimi ga Uso wo Tsuita,7.35,Manga (3 vols),Feb 2009 - Jun 2010,https://myanimelist.net/manga/18977/Kimi_ga_Uso_wo_Tsuita
3773,Countach,7.35,Manga (28 vols),Sep 2004 - Sep 2012,https://myanimelist.net/manga/19156/Countach
3774,SKET Dance,7.35,One-shot (? vols),Aug 2006 - Aug 2006,https://myanimelist.net/manga/20065/SKET_Dance
3775,Nurarihyon no Mago,7.35,Light Novel (4 vols),Dec 2009 - Sep 2011,https://myanimelist.net/manga/22131/Nurarihyon_no_Mago
3776,Hi no Yama,7.35,Manga (1 vols),May 1972 - Mar 1973,https://myanimelist.net/manga/22250/Hi_no_Yama
3777,Bleach: The Honey Dish Rhapsody,7.35,Light Novel (1 vols),Oct 2006 - Oct 2006,https://myanimelist.net/manga/22745/Bleach__The_Honey_Dish_Rhapsody
3778,G-senjou no Maou Comic Anthology,7.35,Manga (1 vols),Sep 2008 - Sep 2008,https://myanimelist.net/manga/23796/G-senjou_no_Maou_Comic_Anthology
3779,Hana ni Kedamono,7.35,Manga (10 vols),Aug 2010 - Nov 2012,https://myanimelist.net/manga/24689/Hana_ni_Kedamono
3780,Usotsuki Lily 0,7.35,Manga (1 vols),Mar 2011 - Mar 2011,https://myanimelist.net/manga/24859/Usotsuki_Lily_0
3781,Dark Air,7.35,Manhwa (12 vols),2010 - Jan 2016,https://myanimelist.net/manga/26370/Dark_Air
3782,Maga-Tsuki,7.35,Manga (13 vols),Feb 2011 - Feb 2017,https://myanimelist.net/manga/27989/Maga-Tsuki
3783,Kujaku no Kyoushitsu,7.35,Manga (3 vols),Feb 2012 - Jan 2013,https://myanimelist.net/manga/35653/Kujaku_no_Kyoushitsu
3784,Shirokuma Café,7.35,Manga (5 vols),Feb 2006 - Apr 2013,https://myanimelist.net/manga/35695/Shirokuma_Café
3785,Wasureyuki,7.35,One-shot (? vols),2011 - 2011,https://myanimelist.net/manga/37231/Wasureyuki
3786,Abide in the Wind,7.35,Manhwa (? vols),Dec 2011 - Aug 2015,https://myanimelist.net/manga/42905/Abide_in_the_Wind
3787,Madan no Ou to Vanadis,7.35,Manga (10 vols),Oct 2011 - Aug 2016,https://myanimelist.net/manga/43391/Madan_no_Ou_to_Vanadis
3788,Wagatsuma-san wa Ore no Yome,7.35,Manga (13 vols),Sep 2011 - Sep 2014,https://myanimelist.net/manga/48035/Wagatsuma-san_wa_Ore_no_Yome
3789,Super Danganronpa 2: Chou Koukou-kyuu no Kouun to Kibou to Zetsubou,7.35,Manga (3 vols),Nov 2012 - Oct 2016,https://myanimelist.net/manga/48441/Super_Danganronpa_2__Chou_Koukou-kyuu_no_Kouun_to_Kibou_to_Zetsubou
3790,Rojiura Brothers,7.35,Manga (3 vols),Feb 2014 - Apr 2020,https://myanimelist.net/manga/77221/Rojiura_Brothers
3791,Hibi Chouchou x Hirunaka no Ryuusei,7.35,Manga (1 vols),May 2014 - May 2014,https://myanimelist.net/manga/77427/Hibi_Chouchou_x_Hirunaka_no_Ryuusei
3792,Watashi no Ookami-kun,7.35,Manga (4 vols),Aug 2014 - Mar 2016,https://myanimelist.net/manga/80907/Watashi_no_Ookami-kun
3793,Nanba MG5,7.35,Manga (18 vols),Jun 2005 - Sep 2008,https://myanimelist.net/manga/82837/Nanba_MG5
3794,Gouhou Yuri Fuufu Hon,7.35,Manga (1 vols),Feb 2014 - Dec 2014,https://myanimelist.net/manga/83803/Gouhou_Yuri_Fuufu_Hon
3795,Mata Ashita,7.35,Manga (3 vols),Dec 2014 - Dec 2015,https://myanimelist.net/manga/88393/Mata_Ashita
3796,Kamisama Hajimemashita: Kurama-yama Yawa,7.35,Light Novel (1 vols),Feb 2015 - Feb 2015,https://myanimelist.net/manga/88679/Kamisama_Hajimemashita__Kurama-yama_Yawa
3797,Tsurezurebiyori,7.35,Manga (3 vols),Oct 2017 - Sep 2019,https://myanimelist.net/manga/110292/Tsurezurebiyori
3798,Lan Chi,7.35,Manhua (? vols),Mar 2014 -,https://myanimelist.net/manga/111720/Lan_Chi
3799,Goblin Slayer: Brand New Day,7.35,Manga (2 vols),May 2018 - May 2019,https://myanimelist.net/manga/114865/Goblin_Slayer__Brand_New_Day
3800,Kaguya-sama wo Kataritai,7.35,Manga (? vols),Jul 2018 -,https://myanimelist.net/manga/114872/Kaguya-sama_wo_Kataritai
3801,Tama no Gohoubi,7.35,Manga (4 vols),Aug 2018 - Dec 2019,https://myanimelist.net/manga/115095/Tama_no_Gohoubi
3802,An Uncomfortable Truth,7.35,Manhwa (? vols),Nov 2016 - Apr 2018,https://myanimelist.net/manga/119483/An_Uncomfortable_Truth
3803,Star Wars: Lost Stars,7.35,Manga (3 vols),May 2017 - Mar 2019,https://myanimelist.net/manga/119739/Star_Wars__Lost_Stars
3804,Spectral Wizard: Saikyou no Mahou wo Meguru Bouken,7.35,Manga (1 vols),May 2017 - May 2019,https://myanimelist.net/manga/122804/Spectral_Wizard__Saikyou_no_Mahou_wo_Meguru_Bouken
3805,Saihate no Solte,7.35,Manga (? vols),Jan 2020 -,https://myanimelist.net/manga/123978/Saihate_no_Solte
3806,Suicide Boy,7.35,Manhwa (? vols),Aug 2017 -,https://myanimelist.net/manga/124272/Suicide_Boy
3807,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,7.35,Manga (? vols),Feb 2020 -,https://myanimelist.net/manga/124305/Akuyaku_Reijou_Level_99__Watashi_wa_Ura-Boss_desu_ga_Maou_dewa_Arimasen
3808,Mushoku Tensei: 4-koma ni Nattemo Honki Dasu,7.35,Manga (3 vols),Oct 2018 - Aug 2020,https://myanimelist.net/manga/125735/Mushoku_Tensei__4-koma_ni_Nattemo_Honki_Dasu
3809,Onna Tomodachi to Kekkon Shitemita.,7.35,Manga (? vols),Nov 2020 -,https://myanimelist.net/manga/131607/Onna_Tomodachi_to_Kekkon_Shitemita
3810,Wind Breaker,7.35,Manga (? vols),Jan 2021 -,https://myanimelist.net/manga/133081/Wind_Breaker
3811,Hanayome to Exorcist,7.35,Manga (4 vols),May 2015 - Jun 2017,https://myanimelist.net/manga/93547/Hanayome_to_Exorcist
3812,Ubau Mono Ubawareru Mono,7.35,Light Novel (? vols),Feb 2015 -,https://myanimelist.net/manga/94518/Ubau_Mono_Ubawareru_Mono
3813,Game: Suit no Sukima,7.35,Manga (? vols),Oct 2015 -,https://myanimelist.net/manga/95075/Game__Suit_no_Sukima
3814,Suteki na Kareshi,7.35,Manga (14 vols),Jan 2016 - Oct 2020,https://myanimelist.net/manga/95250/Suteki_na_Kareshi
3815,Dear My Teacher,7.35,Doujinshi (? vols),Dec 2012 -,https://myanimelist.net/manga/99275/Dear_My_Teacher
3816,Maou-sama no Machizukuri!: Saikyou no Dungeon wa Kindai Toshi,7.35,Light Novel (? vols),Dec 2016 -,https://myanimelist.net/manga/102419/Maou-sama_no_Machizukuri__Saikyou_no_Dungeon_wa_Kindai_Toshi
3817,Hone ga Kusaru made,7.35,Manga (7 vols),May 2016 - Feb 2018,https://myanimelist.net/manga/102987/Hone_ga_Kusaru_made
3818,Misoshiru de Kanpai!,7.35,Manga (? vols),Jun 2015 -,https://myanimelist.net/manga/103725/Misoshiru_de_Kanpai
3819,Watashi no Yuri wa Oshigoto desu!,7.35,Manga (? vols),Nov 2016 -,https://myanimelist.net/manga/104862/Watashi_no_Yuri_wa_Oshigoto_desu
3820,Pita-Ten,7.35,Manga (8 vols),Aug 1999 - Jun 2003,https://myanimelist.net/manga/33/Pita-Ten
3821,Alice 19th,7.35,Manga (7 vols),Jun 2001 - Mar 2003,https://myanimelist.net/manga/77/Alice_19th
3822,Dragon Voice,7.35,Manga (11 vols),Jan 2001 - Jan 2003,https://myanimelist.net/manga/305/Dragon_Voice
3823,Gravitation: Voice of Temptation,7.35,Light Novel (1 vols),2002 -,https://myanimelist.net/manga/335/Gravitation__Voice_of_Temptation
3824,Kaitou Saint Tail,7.35,Manga (7 vols),Sep 1994 - Feb 1997,https://myanimelist.net/manga/508/Kaitou_Saint_Tail
3825,Mahoutsukai ni Taisetsu na Koto: Taiyou to Kaze no Sakamichi,7.35,Manga (5 vols),Dec 2003 - Feb 2006,https://myanimelist.net/manga/531/Mahoutsukai_ni_Taisetsu_na_Koto__Taiyou_to_Kaze_no_Sakamichi
3826,Vampire Doll: Guilt-na-Zan,7.35,Manga (6 vols),Mar 2002 - Sep 2008,https://myanimelist.net/manga/561/Vampire_Doll__Guilt-na-Zan
3827,Bamboo Blade,7.35,Manga (14 vols),Dec 2004 - Sep 2010,https://myanimelist.net/manga/720/Bamboo_Blade
3828,Open Sesame,7.35,Manga (20 vols),Mar 2001 - Jun 2008,https://myanimelist.net/manga/730/Open_Sesame
3829,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,7.35,Manga (12 vols),Mar 1998 - Oct 2003,https://myanimelist.net/manga/1153/Narutaru__Mukuro_Naru_Hoshi_Tama_Taru_Ko
3830,Kazan,7.35,Manga (7 vols),1997 - 2001,https://myanimelist.net/manga/1727/Kazan
3831,Kamisama no Iutoori,7.35,Manga (2 vols),2002 - 2003,https://myanimelist.net/manga/1801/Kamisama_no_Iutoori
3832,Shin☆Daa! Daa! Daa!,7.35,Manga (2 vols),May 2002 - Feb 2003,https://myanimelist.net/manga/3664/Shin☆Daa_Daa_Daa
3833,Mei-chan no Shitsuji,7.35,Manga (20 vols),May 2006 - Jan 2014,https://myanimelist.net/manga/3778/Mei-chan_no_Shitsuji
