Rank,Title,Score,Episodes,Airing
19878,Receptacle,N/A,Manga (1 vols),Feb 2010 - Apr 2012
19879,Sundere!,N/A,Manga (? vols),Apr 2009 -
19880,Starry☆Sky: In Spring - 4-koma Anthology,N/A,Manga (1 vols),Feb 2010 - Feb 2010
19881,Starry☆Sky: In Summer - 4-koma Anthology,N/A,Manga (1 vols),Apr 2010 - Apr 2010
19882,Starry☆Sky: In Autumn - 4-koma Anthology,N/A,Manga (1 vols),Jun 2010 - Jun 2010
19883,Kuma Magoto,N/A,Manga (4 vols),Jan 2008 - Mar 2009
19884,C-R-O-S-S,N/A,Light Novel (2 vols),Oct 2006 - Apr 2007
19885,Paris-Paris Densetsu,N/A,Manga (? vols),Dec 2004 -
19886,Tunnels,N/A,Manga (2 vols),Feb 2009 - May 2009
19887,DRAGON FLY,N/A,Manga (1 vols),Sep 2004 - Feb 2008
19888,Wakusei Sutakola,N/A,Manga (5 vols),Aug 2006 - Dec 2015
19889,Ann wa Ann,N/A,Manga (3 vols),1985 -
19890,Rose Meets Rose,N/A,Manga (1 vols),Jul 2010 - Jul 2010
19891,Paris no Suzukike,N/A,Manga (1 vols),2008 - 2008
19892,Kodomo no Niwa,N/A,Manga (2 vols),1995 -
19893,Chin-Man,N/A,Manga (1 vols),Oct 2009 - Oct 2009
19894,Hanafubuki Dengei Yarou,N/A,Manga (2 vols),2000 - 2000
19895,Double Hard,N/A,Manga (30 vols),1994 - 1997
19896,Torikaebaya Ibun,N/A,Manga (1 vols),1998 - 1998
19897,Genocider Mami,N/A,Manga (3 vols),1994 - 1995
19898,King's Prophet,N/A,One-shot (? vols),-
19899,Night Wizard Variable Witch,N/A,Manga (2 vols),Apr 2007 - May 2008
19900,Otome Kakumei Ayame no! Gaiden,N/A,One-shot (? vols),Apr 2009 - Apr 2009
19901,Sobakkasu!,N/A,Manga (11 vols),Sep 1994 - Jul 1996
19902,Otome Game Yattemita.,N/A,Manga (1 vols),Dec 2009 - Feb 2011
19903,Starry☆Sky: In Winter - 4-koma Anthology,N/A,Manga (1 vols),Aug 2010 - Aug 2010
19904,Pygmalion no Yume,N/A,Manga (3 vols),Aug 1997 - Jul 1998
19905,Koi wa Isoge!!,N/A,Manga (1 vols),Nov 1991 - Mar 1996
19906,OUT,N/A,Manga (1 vols),1999 -
19907,Oyajina! ~Ryuu to Shinomiya no Baai~,N/A,Manga (1 vols),Feb 2010 - Oct 2011
19908,Hitokiri,N/A,Manga (1 vols),1969 - 1969
19909,Starry☆Sky: In Spring - Anthology,N/A,Manga (1 vols),Apr 2010 - Apr 2010
19910,Starry☆Sky: In Summer - Anthology,N/A,Manga (1 vols),May 2010 - May 2010
19911,Starry☆Sky: In Autumn - Anthology,N/A,Manga (1 vols),Jul 2010 - Jul 2010
19912,Starry☆Sky: In Winter - Anthology,N/A,Manga (1 vols),Jul 2010 - Jul 2010
19913,Honto ni Atta! Reibai Sensei,N/A,Manga (20 vols),Apr 2008 - Jun 2014
19914,Grand Chase,N/A,Manhwa (30 vols),2005 - 2012
19915,Little Busters! Ecstasy: Wonderbit Wandering,N/A,Manga (? vols),May 2010 -
19916,The Legend of Dragoon,N/A,Manga (1 vols),2000 -
19917,Shangri-La,N/A,Manga (4 vols),Mar 2008 - Dec 2009
19918,BB Paradise,N/A,Manga (2 vols),1995 -
19919,Futari no "Rikako",N/A,Manga (1 vols),1997 - 1997
19920,Diamond Girl,N/A,Manga (1 vols),1997 -
19921,Gun Dolls,N/A,Manga (2 vols),2006 -
19922,Stanle,N/A,Manhua (2 vols),-
19923,To Heart 2 SD ~Seitokai Days~,N/A,Manga (1 vols),2008 -
19924,Da Capo Girl's Symphony,N/A,Manga (1 vols),2009 - Nov 2009
19925,Unmei no Aite desu ga, Nani ka?,N/A,Manga (1 vols),2010 - 2010
19926,Kachin☆Ko,N/A,Manga (2 vols),2005 - 2005
19927,Abunai Paradise,N/A,Manga (1 vols),Jan 1999 -
19928,Kurohyou: Ryuu ga Gotoku Shinshou,N/A,Manga (3 vols),Sep 2010 - Jul 2011
19929,Hatsukare x Hatsu Kano,N/A,Manga (1 vols),Jul 2009 -
19930,Kamisama no Ring,N/A,Manga (1 vols),Oct 2009 -
19931,Gekijouban Pocket Monster Advanced Generation: Nanayo no Negaiboshi Jirachi,N/A,Manga (1 vols),May 2003 - Jul 2003
19932,Mezase!! Card Master,N/A,Manga (1 vols),Dec 2000 - Dec 2000
19933,Tatakae!! Ramenman,N/A,Manga (12 vols),Jul 1982 - Dec 1988
19934,Kinnikuman II-sei: All Choujin Daishingeki,N/A,Manga (4 vols),May 2001 - Mar 2007
19935,Yukikaze: Sentou Yousei,N/A,Manga (1 vols),Sep 2003 - Sep 2003
19936,Suiheisen no Shachi,N/A,Manga (1 vols),Aug 2007 - Aug 2007
19937,Tokimeki Memorial: Only Love,N/A,Manga (2 vols),May 2006 - Jul 2007
19938,Ohanyuu,N/A,Manga (5 vols),Feb 2009 - Jul 2010
19939,Inakano,N/A,Manga (? vols),Jun 2009 -
19940,Koishi Uru Kagiri Koise,N/A,Manga (1 vols),May 2007 -
19941,King of Fighters 03: Xenon Zero,N/A,Manhua (8 vols),2003 -
19942,King of Fighters RX,N/A,Manhua (3 vols),2002 -
19943,Rockman & Forte,N/A,Manga (2 vols),1998 - 1999
19944,Rockman Battle & Chase,N/A,Manga (1 vols),-
19945,Rockman 10 Extra F,N/A,One-shot (? vols),-
19946,Rockman X5,N/A,Manhua (2 vols),-
19947,Irregular Hunter Rockman X,N/A,Manga (2 vols),1994 - 1995
19948,Light Novel,N/A,Manga (4 vols),Aug 2010 - Apr 2012
19949,Binetsu Tenshi,N/A,Manga (1 vols),Jun 2009 - Jun 2009
19950,Itsuka Kachi-gumi!,N/A,Manga (5 vols),Sep 2006 - Feb 2008
19951,Persona 4 Dengeki Comic Anthology,N/A,Manga (1 vols),Oct 2008 - Oct 2008
19952,Wind: A Breath of Heart,N/A,Manga (1 vols),2005 -
19953,Mousou Fuuki Iin,N/A,Manga (1 vols),-
19954,Sono Otoko, Oniichan Ijou,N/A,Manga (1 vols),Oct 2009 - Oct 2009
19955,Flyable Heart,N/A,Manga (3 vols),Jan 2009 - Oct 2013
19956,Nostradamus ni Kiitemiro♪,N/A,Manga (1 vols),2008 - 2008
19957,Bakukyuu Renpatsu!! Super B-Daman,N/A,Manga (15 vols),Sep 1995 - Dec 2001
19958,Bomberman B-Daman Bakugaiden,N/A,Manga (3 vols),Jul 1998 - Nov 1998
19959,Tora wa Amaku Kiba de Kamu,N/A,Manga (2 vols),2009 - 2010
19960,Kareshi 1-gou,N/A,Manga (1 vols),May 2008 - May 2009
19961,Danjo,N/A,Manga (1 vols),Feb 2004 -
19962,Rockman X2,N/A,Manga (3 vols),Jul 1995 - Apr 1996
19963,Rockman X3,N/A,Manga (4 vols),Aug 1996 -
19964,Rockman X4,N/A,Manga (2 vols),Feb 1998 - Jul 1998
19965,Nekomimi Gakuen Yorozuya,N/A,Manga (1 vols),Sep 2007 - Jul 2010
19966,Oretachi ni Tsubasa wa Nai - Prelude,N/A,Manga (1 vols),2008 - Feb 2009
19967,Ten ni Hibiki,N/A,Manga (10 vols),May 2009 - Aug 2014
19968,Persona 4 Hinotama Game Comic Anthology,N/A,Manga (4 vols),Sep 2008 - Feb 2009
19969,Persona 4 DNA Comic Anthology,N/A,Manga (5 vols),Oct 2008 - Aug 2009
19970,Persona 4 Bros Comics EX Comic Anthology,N/A,Manga (6 vols),Oct 2008 - Apr 2009
19971,Nekogami Tama,N/A,Manga (? vols),2009 -
19972,Oretachi ni Tsubasa wa Nai -Rhapsody-,N/A,Manga (? vols),2009 -
19973,Boukenyarou Densetsu: Aventurier,N/A,Manga (1 vols),2004 - 2004
19974,Danchi Tomoo,N/A,Manga (33 vols),Jul 2003 - Feb 2019
19975,Teppan!,N/A,Manga (? vols),Jun 2010 -
19976,Kare to Kanojo no Himitsu,N/A,Manga (1 vols),2009 - 2009
19977,Ikenai Kiss wo Shiyou,N/A,Manga (? vols),2009 -
19978,Kare wa S-kei Seitokaichou,N/A,Manga (1 vols),2010 - 2010
19979,W Name,N/A,Manga (6 vols),Apr 2005 - Nov 2007
19980,Hi no Kagutsuchi,N/A,Manga (3 vols),Nov 2008 - Mar 2010
19981,Access-B,N/A,Manga (1 vols),Apr 2001 -
19982,Heart Catch Izumi-Chan,N/A,Manga (9 vols),Dec 1982 - Apr 1987
19983,Motori,N/A,Manga (6 vols),Nov 2008 - Jun 2010
19984,My Pure Lady,N/A,Manga (21 vols),Feb 2006 - May 2015
19985,Porno Graffiti,N/A,Manga (2 vols),Jun 2008 - Jun 2009
19986,Bikings,N/A,Manga (8 vols),Apr 2006 - Sep 2008
19987,The Two Stars Love,N/A,Manhwa (11 vols),2004 -
19988,Ukkari Mariko-san,N/A,Manga (1 vols),Aug 2010 - Aug 2010
19989,Renai Junkie Side Story,N/A,Manga (1 vols),Apr 2008 - Apr 2008
19990,Kawaruwayo,N/A,Manga (3 vols),Feb 2005 - Apr 2008
19991,Fukukon!,N/A,Manga (2 vols),Sep 2009 - Dec 2009
19992,Koma-tan,N/A,Manga (2 vols),Jul 2008 - Sep 2009
19993,Yawara na Hada,N/A,Manga (1 vols),Dec 2005 - Dec 2005
19994,Target,N/A,Manga (1 vols),Jun 2003 - Jun 2003
19995,My Fair Lady,N/A,Manga (3 vols),Apr 2000 - Apr 2001
19996,Ku no Nijuuuichi Hotaru,N/A,Manga (1 vols),Feb 2002 - Feb 2002
19997,Genocide: Sanada Juyuushi vs. Satomi Hakkenshi,N/A,Manga (2 vols),Jul 2004 - Apr 2005
19998,Afureko,N/A,Manga (3 vols),Feb 2007 - Oct 2008
19999,9 Love Letters,N/A,Manga (1 vols),Jul 2004 - Jul 2004
20000,Sailor Suit to Kikanbou,N/A,Manga (1 vols),Dec 2006 - Dec 2006
20001,Sailor Fuku Kishi,N/A,Manga (1 vols),Jun 2005 - Jun 2005
20002,Princess,N/A,Manga (5 vols),Jul 1996 - Apr 1998
20003,She Loved Him, and He Loved Himself,N/A,Manhwa (? vols),Apr 2010 - Apr 2010
20004,Renai Kankei,N/A,Manga (1 vols),Apr 2008 - Apr 2008
20005,Tanin no Kankei,N/A,Manga (2 vols),Feb 1993 - Jul 1993
20006,Tsumeeri Hime,N/A,Manga (5 vols),1998 - 2002
20007,Nejimaki no Niwa,N/A,Manga (2 vols),Jan 2008 - Sep 2009
20008,Colorful Commune☆,N/A,Manga (4 vols),Oct 2005 - Nov 2008
20009,Baby Face Lunch,N/A,Manga (1 vols),May 2004 - Jun 2005
20010,Love♡Work,N/A,Manga (2 vols),2009 - 2011
20011,Shirokuma Bellstars,N/A,Manga (2 vols),Aug 2009 - Sep 2010
20012,Dandelion,N/A,Manga (2 vols),2001 -
20013,Hakenshain Ogin,N/A,Manga (1 vols),2006 -
20014,Kuroi Hitsuji wa Mayowanai,N/A,Manga (2 vols),Jun 1997 - Nov 1997
20015,Onna Kyoushi no Yorokobi,N/A,Manga (1 vols),Oct 2006 - Oct 2006
20016,Kindan no Yorokobi,N/A,Manga (1 vols),Jun 2006 - Jun 2006
20017,Kyoutei Shoujo,N/A,Manga (14 vols),Dec 1996 - Sep 2003
20018,Mobile Suit Gundam 00 - Bonds,N/A,Manga (1 vols),Feb 2009 - Jun 2009
20019,Mobile Suit Gundam 00 - Crossword Puzzle Comic Characters Black!,N/A,Manga (1 vols),Aug 2010 - Aug 2010
20020,Sekaiju no Meikyuu III: Seikai no Raihousha,N/A,Manga (? vols),2010 -
20021,Crazy Ribon,N/A,Manga (1 vols),Apr 1990 - Apr 1990
20022,Sayuki,N/A,Manga (8 vols),Apr 1995 - Oct 1998
20023,Dolls Don't Cry,N/A,Manga (1 vols),Jun 2003 - Jun 2003
20024,Majoukko Rina no Fushigi Daisakusen,N/A,Manga (3 vols),Aug 2007 - Oct 2009
20025,Boku no Chikyuu wo Mamotte Tribute,N/A,Manga (1 vols),Aug 2009 - Aug 2009
20026,Uhha! Harem Gakuseiryou,N/A,Manga (7 vols),Jun 2002 - May 2004
20027,Kuru-Mix,N/A,Manga (1 vols),Sep 2010 - Sep 2010
20028,Honey Cafe,N/A,Manga (1 vols),Sep 2010 - Sep 2010
20029,Super Maid Chirumi-san,N/A,Manga (? vols),Oct 2008 -
20030,Golf 13,N/A,Manga (4 vols),Apr 2009 - Nov 2011
20031,Madonna,N/A,Manga (22 vols),1987 - 1992
20032,Tokimeki Ecchi,N/A,Manga (1 vols),Dec 2004 - Dec 2004
20033,Shoot!: Aoki Meguriai,N/A,Manga (5 vols),Oct 1996 - Sep 1997
20034,Jigoku no Mizu,N/A,Manga (1 vols),1958 - 1958
20035,0 kara Hajimemashou,N/A,Manga (2 vols),2006 - 2006
20036,Trouble-H,N/A,Manga (? vols),2008 - 2008
20037,Hatsukoi,N/A,Manga (1 vols),Mar 2010 - Mar 2010
20038,Osananajimi,N/A,Manga (1 vols),Jun 2009 - Jun 2009
20039,Gate Keepers,N/A,Light Novel (3 vols),Dec 1999 - Apr 2000
20040,Fight! Super Robot Lifeform Transformers: The Comics,N/A,Manga (1 vols),May 1985 - Aug 1991
20041,Transformers: The Battle of Star Gate,N/A,Manga (1 vols),2003 - 2003
20042,Transformers: Full Throttle Scramble Power!,N/A,One-shot (? vols),1986 - 1986
20043,Transformers G-2: Aratanaru Tatakai!!,N/A,One-shot (? vols),Aug 1995 - Aug 1995
20044,Beast Wars II: Super Lifeform Transformers,N/A,Manga (1 vols),Jun 1998 - Jan 1999
20045,Beast Wars Neo: Super Lifeform Transformers,N/A,Manga (1 vols),Mar 1999 - Oct 1999
20046,Beast Wars Metals,N/A,Manga (? vols),Nov 1999 - Apr 2000
20047,Transformers: Galaxy Force,N/A,Manga (1 vols),Feb 2005 - Oct 2005
20048,Henkei! Henkei! Transformers,N/A,Manga (2 vols),Nov 2008 - Oct 2009
20049,Transformers Animated: The Cool,N/A,Manga (1 vols),Mar 2010 - Mar 2011
20050,Q-Robo Transformer,N/A,Manga (1 vols),Mar 2003 - Oct 2004
20051,Aoiro Kazoku,N/A,Manga (1 vols),Sep 2006 - Sep 2006
20052,Majo wa H na Otoshigoro,N/A,Manga (1 vols),May 1992 - May 1992
20053,Transformers: Kiss Players/15 Go! Go! Compilation,N/A,Manga (1 vols),Jul 2005 - Sep 2007
20054,Seifuumaroku,N/A,Manga (1 vols),Apr 1994 - Apr 1994
20055,Bokutachi no Banka,N/A,Manga (1 vols),Dec 1994 - Dec 1994
20056,Choco-pa!,N/A,Manga (2 vols),Dec 2009 - Oct 2010
20057,Momo-Pan,N/A,Manga (1 vols),Oct 2005 - Oct 2005
20058,Gummi Chocolate Pine,N/A,Manga (6 vols),-
20059,Manzai Gang,N/A,Manga (2 vols),Sep 2010 - Jul 2011
20060,SHI-NO,N/A,Manga (1 vols),Jun 2007 - Apr 2008
20061,2nd House,N/A,Manga (2 vols),Jun 2002 - Aug 2002
20062,Seiyuu Geikijou Papaion! Mizuhara-san,N/A,Manga (? vols),Jun 2009 -
20063,Brother☆Everyday,N/A,One-shot (? vols),-
20064,Real Rode,N/A,Manga (1 vols),2009 - 2010
20065,Sweet Girl,N/A,Manga (3 vols),2008 -
20066,Kyuutei Shinkan Monogatari,N/A,Manga (2 vols),Mar 2009 - Jul 2010
20067,Sora to Arashi,N/A,Manga (2 vols),2007 - 2008
20068,Amai Yatsura,N/A,Manga (3 vols),2008 -
20069,Sora wo Tobu, Mittsu no Houhou.,N/A,Manga (2 vols),Nov 2007 - Jan 2009
20070,Hibi Kore...,N/A,Manga (1 vols),Feb 2010 - Feb 2010
20071,Yamato Monogatari,N/A,Manga (1 vols),Nov 2008 - Sep 2009
20072,Haru Uraraka ni Moyuru Hibi,N/A,Manga (1 vols),Feb 2004 - Feb 2004
20073,Ichigo no Hanayome,N/A,Manga (1 vols),Dec 2006 - Sep 2007
20074,L.A.G. Complex,N/A,Manga (1 vols),Oct 2005 - Oct 2005
20075,Ama-gami,N/A,Manga (2 vols),Mar 2009 - Sep 2009
20076,Tanabota,N/A,Manga (2 vols),May 2004 - Jan 2006
20077,Kanojo no Himitsu,N/A,Manga (1 vols),Sep 2007 - Sep 2007
20078,Mikakunin Osananajimi,N/A,Manga (2 vols),Nov 2007 - Jan 2009
20079,Tenken,N/A,Manga (1 vols),2007 -
20080,Immortal Fetishism,N/A,Manga (1 vols),Apr 2008 - Apr 2008
20081,Hakoniwa Mushi,N/A,Manga (1 vols),Apr 2000 - Aug 2004
20082,Shukufuku no Campanella - Balzare! Tortilla Sisters!,N/A,Manga (2 vols),Dec 2009 - Oct 2010
20083,Kakikake to Keshiin,N/A,Manga (1 vols),Sep 2010 - Sep 2010
20084,Inu to Watashi,N/A,Manga (1 vols),2010 - 2010
20085,Taiya,N/A,Manga (1 vols),1992 -
20086,Dokyou Shichau zo!,N/A,Manga (1 vols),Oct 2008 - Dec 2009
20087,Hebi No Recipe,N/A,One-shot (? vols),-
20088,Sexaroid,N/A,Manga (4 vols),1968 - 1970
20089,Hitomi no Photograph,N/A,Manga (? vols),Sep 2008 -
20090,Taishou Yakyuu Musume.,N/A,Light Novel (? vols),Apr 2007 -
20091,Kochira ga Mushuu Tantei Jimusho!,N/A,Manga (3 vols),Dec 2007 - Jul 2008
20092,There's Something About Sunyool,N/A,Manhwa (6 vols),2010 - 2015
20093,Bonsai Shi to Ibara Jou,N/A,One-shot (? vols),Aug 1998 - Aug 1998
20094,Watashi wa Gegege - Shinpika Mizuki Shigeru Den,N/A,Manga (1 vols),Apr 2008 - Apr 2008
20095,Kimi ni Kiss Shitai,N/A,Manga (3 vols),-
20096,Bite! Green wo Nerae,N/A,Manga (? vols),Jan 2009 -
20097,Wakeari na Kanojo,N/A,Manga (1 vols),Nov 2009 - Nov 2009
20098,Tokumori,N/A,Manga (1 vols),Jun 2006 - Jun 2006
20099,Raise de Aimashou,N/A,Manga (3 vols),Oct 2009 - Feb 2011
20100,Gigolo,N/A,Manga (1 vols),Sep 2009 - Sep 2009
20101,Kachou Reijou,N/A,Manga (2 vols),Feb 2010 - Sep 2010
20102,Naniwa Tomoare,N/A,Manga (28 vols),Nov 1999 - Dec 2006
20103,Love+Make,N/A,Manga (1 vols),2009 - 2009
20104,Engawa Gohan,N/A,Manga (1 vols),2008 - 2008
20105,Hakomiya Gensou Gekijou,N/A,Manga (? vols),-
20106,Jarman Complex,N/A,Manga (? vols),May 2010 -
20107,Sangoku Yuugi Tao-ten,N/A,Manga (2 vols),Oct 2008 - May 2009
20108,Shinsei Motemote Oukoku,N/A,Manga (6 vols),Apr 1996 - Jan 2004
20109,Dantalian no Shoka: Dalian Days,N/A,Manga (2 vols),Mar 2010 - Oct 2011
20110,Big X,N/A,Manga (4 vols),Nov 1963 - Feb 1966
20111,Chikyuu no Akuma,N/A,Manga (1 vols),1954 - 1956
20112,Doronko-sensei,N/A,Manga (1 vols),1983 - 1983
20113,Faust,N/A,Manga (1 vols),Jan 1950 - Jan 1950
20114,Film wa Ikiteiru,N/A,Manga (1 vols),Apr 1958 - Aug 1959
20115,Goblin Koushaku,N/A,Manga (2 vols),Sep 1985 - Feb 1986
20116,Meitantei Pashiri-kun!,N/A,Manga (3 vols),Apr 2008 - Apr 2009
20117,17-sai: Tabidachi no Futari,N/A,Manga (1 vols),2003 -
20118,Odaiba Love Survival,N/A,Manga (2 vols),-
20119,Ninmusu!,N/A,Manga (? vols),Nov 2009 -
20120,Junshin ni, Akuma tekini...,N/A,One-shot (? vols),Nov 1995 - Nov 1995
20121,Tsuratsurawaraji,N/A,Manga (5 vols),Nov 2009 - Dec 2012
20122,Koyomishowa,N/A,One-shot (? vols),Dec 2007 - Dec 2007
20123,Nude Fighter Yuzuki,N/A,Manga (5 vols),Sep 2009 - Aug 2012
20124,Sanchoume no Yuuhi,N/A,Manga (? vols),1974 -
20125,Oretachi ni Tsubasa wa Nai ~berceuse~,N/A,Manga (? vols),2008 -
20126,Gum Gum Punch,N/A,Manga (2 vols),Apr 1967 - Sep 1969
20127,Kasekitou,N/A,Manga (1 vols),Dec 1951 - Dec 1951
20128,Kenichi Tanteichou,N/A,Manga (2 vols),Jun 1954 - Dec 1956
20129,Iyahaya Nantomo,N/A,Manga (5 vols),1975 - 1975
20130,Miraijin Chaos,N/A,Manga (3 vols),1978 - 1979
20131,Nasubi Joou,N/A,Manga (1 vols),1954 - 1954
20132,Niji no Toride,N/A,Manga (1 vols),1956 - 1956
20133,Mukashi, Oboronaru Otoko Arikeri,N/A,Manga (1 vols),2002 - 2002
20134,Ore wa Sarutobi da！,N/A,Manga (2 vols),1960 - 1960
20135,Prime Rose,N/A,Manga (4 vols),Jul 1982 - Jun 1983
20136,Rock Boukenki,N/A,Manga (2 vols),1952 - 1954
20137,Wan no Mi,N/A,Manga (2 vols),2006 - 2007
20138,Mizuki Shigeru Youkai Collection,N/A,Manga (1 vols),Aug 2008 - Aug 2008
20139,Nibun no Wan! Ouji,N/A,Manga (7 vols),Oct 2008 - Jul 2014
20140,Gekkan Aikawa Henshuuchou,N/A,Manga (6 vols),Mar 2009 - Jan 2013
20141,Kingdom of the Winds,N/A,Manhwa (26 vols),1996 - 2009
20142,Namida no Suisou,N/A,Doujinshi (1 vols),-
20143,Musashinosen no Shimai,N/A,Manga (? vols),Jun 2008 -
20144,Ietsuroku - Mizuki Shigeru no Sekai,N/A,Manga (1 vols),Jul 2007 - Jul 2007
20145,Suki ni Naru Hito,N/A,Manga (1 vols),Dec 1999 - Dec 1999
20146,Soyokaze-san,N/A,Manga (1 vols),1955 - 1955
20147,Suspicion,N/A,Manga (1 vols),1982 -
20148,38-do Senjou no Kaibutsu,N/A,Manga (1 vols),1952 - 1953
20149,Yukinko!!,N/A,Manga (1 vols),2001 - 2001
20150,Mahou Yashiki,N/A,Manga (1 vols),Feb 1948 - Feb 1948
20151,Hoshii no wa, Anata dake,N/A,Manga (1 vols),2007 -
20152,Sweet Sweet Generation,N/A,One-shot (? vols),2004 - 2004
20153,Tokimeki☆Triangle,N/A,Manga (1 vols),Jul 2006 - Jul 2006
20154,Boku no Idol,N/A,Manga (1 vols),Aug 2005 - Aug 2005
20155,Sensei no Apron,N/A,Manga (1 vols),Aug 2009 - May 2010
20156,Oto Miya!,N/A,Manga (2 vols),Mar 2008 - Oct 2008
20157,Petit Link,N/A,Manga (4 vols),Jul 2004 - Apr 2006
20158,Pa-peki! Oneesan,N/A,Manga (1 vols),Feb 2010 - Feb 2010
20159,Kuromaku Oneesan,N/A,Manga (? vols),Mar 2008 - Oct 2008
20160,Seigi no Tobira,N/A,Manga (3 vols),Feb 2007 - Jan 2008
20161,Keishichou Bijin-kyoku,N/A,Manga (4 vols),Dec 2006 - Dec 2008
20162,Heart Porno,N/A,Manga (1 vols),Mar 2010 - Mar 2010
20163,Gijipoko,N/A,Manga (1 vols),Mar 2010 - Mar 2010
20164,Otomezon,N/A,Manga (2 vols),Oct 2008 - Jul 2009
20165,Hakaba Kitaro,N/A,Manga (15 vols),1959 - 1964
20166,Flower Man,N/A,Manhwa (7 vols),Apr 2004 - Aug 2004
20167,Sakura Hanayashiki,N/A,Manga (1 vols),Nov 2000 - Nov 2000
20168,Pokémon Platinum: Aim to Be Battle King!!,N/A,Manga (1 vols),2009 - 2009
20169,Pokémon Quiz Puzzle-land: Pikachu wa Meitantei,N/A,Manga (2 vols),2008 - 2009
20170,Pocket Monsters HG SS: Jou no Daibouken,N/A,Manga (1 vols),Sep 2009 - Jan 2010
20171,Pokémon Colosseum: Snatcher Leo,N/A,Manga (? vols),Jan 2004 - Mar 2004
20172,Tennen Aluminium!,N/A,Manga (? vols),Feb 2009 -
20173,Nangoku Chu Bakka!,N/A,Manga (2 vols),2010 - Jun 2012
20174,Youkai Daisensou,N/A,Manga (1 vols),Aug 2005 - Aug 2005
20175,Hot Junction,N/A,Manga (2 vols),Nov 1994 - Nov 1994
20176,Ark,N/A,Manga (3 vols),Aug 2006 -
20177,Haru wa Akebono Satsujin Jiken,N/A,Manga (1 vols),1977 - 2007
20178,Billy the Kid 21-mai no Album,N/A,Manga (3 vols),2008 -
20179,Tadaima no Uta,N/A,Manga (7 vols),Apr 2009 - Jul 2014
20180,Nihonjin no Shiranai Nihongo,N/A,Manga (4 vols),2009 - 2013
20181,Party7,N/A,One-shot (? vols),2005 - 2005
20182,Mitsuaku Harem,N/A,Manga (1 vols),-
20183,Kanojo no Hitorigurashi,N/A,Manga (3 vols),Aug 2009 - Aug 2012
20184,Inukami!,N/A,Light Novel (14 vols),Jan 2003 - May 2007
20185,Lega no 13,N/A,Manga (6 vols),May 2006 - Oct 2011
20186,Date Ningen,N/A,Manga (5 vols),Sep 2010 - Feb 2013
20187,Gagoze,N/A,Manga (5 vols),Aug 2006 - Dec 2008
20188,Ganso Ylva-chan,N/A,Manga (3 vols),Apr 2007 - Sep 2010
20189,Engei Shounen,N/A,Manga (1 vols),Oct 2010 - Dec 2010
20190,Gakuen Kakumeiden Mitsurugi Nakayoshi,N/A,Manga (4 vols),Oct 2010 - Jul 2012
20191,Lovephobia,N/A,Manga (3 vols),Apr 2010 - Feb 2012
20192,Last Escort: Club Katze,N/A,Manga (1 vols),Oct 2010 - Oct 2010
20193,Roke☆Mani,N/A,Manga (1 vols),Oct 2009 - Jun 2011
20194,Rockman 8,N/A,Manga (? vols),-
20195,Empire of Midnight,N/A,Manga (? vols),2001 - 2007
20196,Ultra Hanamaru Z-gumi,N/A,Manga (1 vols),2008 -
20197,Dakara Koi to Yobanaide,N/A,Manga (5 vols),2009 -
20198,Pokémon Chamo-Chamo☆Pretty♪,N/A,Manga (3 vols),Mar 2003 - Sep 2006
20199,Warabe no Kusa,N/A,Manga (1 vols),Mar 2010 - Jun 2010
20200,Seigi Club,N/A,Manga (? vols),Mar 2009 -
20201,Zettai Ryouiki Princess Sweet Story,N/A,Manga (? vols),2009 -
20202,Pawa Kuri,N/A,Manga (2 vols),Nov 2001 - Sep 2002
20203,Kana-Shiki! Radio Star,N/A,Manga (1 vols),Jul 2008 - Jul 2008
20204,Feng Yun,N/A,Manhua (? vols),1989 -
20205,Neko Vitamin,N/A,Manga (? vols),Jun 2009 -
20206,Dareka no Onna,N/A,Manga (1 vols),Nov 2001 - Nov 2001
20207,Tales of Destiny: Kami no Me wo Meguru Yabou,N/A,Manga (6 vols),Dec 1997 - Oct 2000
20208,Sexy Monsters,N/A,Manga (1 vols),Dec 2004 - Dec 2005
20209,Seifuku Shite Kudasai,N/A,Manga (1 vols),Sep 2004 - Sep 2004
20210,Trouble Gemini,N/A,Manga (1 vols),Aug 2000 - Aug 2000
20211,Ikenai yo Yuuko-san,N/A,Manga (2 vols),Dec 1995 - Sep 1996
20212,Mizuki Shigeru's Tono Monogatari,N/A,Manga (1 vols),Feb 2010 - Feb 2010
20213,Bungaku Shoujo Short Stories from DVD,N/A,Light Novel (? vols),Aug 2010 - Dec 2010
20214,Kono Tabi wa,N/A,Manga (1 vols),2010 - Aug 2010
20215,Sakaki Mirei no Tame nara Boku wa...!!,N/A,Manga (5 vols),May 2010 - Mar 2013
20216,Bless You!,N/A,Manga (1 vols),Jul 2006 - Jul 2006
20217,Romance wa Tsurugi no Kagayaki II Plus,N/A,Manga (1 vols),Oct 2002 - Oct 2002
20218,Juusho Mitei,N/A,Manga (3 vols),Jan 2006 - Oct 2007
20219,Hamidoru!,N/A,Manga (5 vols),Feb 2010 - Jun 2011
20220,Mushroom Boy,N/A,One-shot (? vols),-
20221,Yoru no Fuuki Iin Mitarashi Hanako-san,N/A,Manga (1 vols),Jul 2010 - Jul 2010
20222,Hiyoko Voice,N/A,Manga (1 vols),Aug 2000 - Aug 2000
20223,Pink no Hiyoko,N/A,Manga (1 vols),Dec 1997 - Dec 1997
