Rank,Title,Score,Episodes,Airing,Link
41,Made in Abyss: Retsujitsu no Ougonkyou,8.73,TV (12 eps),Jul 2022 - Sep 2022,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
42,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.73,TV (12 eps),Oct 2021 - Dec 2021,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
43,Odd Taxi,8.73,TV (13 eps),Apr 2021 - Jun 2021,https://myanimelist.net/anime/46102/Odd_Taxi
44,Vinland Saga,8.73,TV (24 eps),Jul 2019 - Dec 2019,https://myanimelist.net/anime/37521/Vinland_Saga
45,86 Part 2,8.72,TV (12 eps),Oct 2021 - Mar 2022,https://myanimelist.net/anime/48569/86_Part_2
46,Ashita no Joe 2,8.71,TV (47 eps),Oct 1980 - Aug 1981,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
47,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA (4 eps),Feb 1999 - Sep 1999,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
48,Mushishi Zoku Shou,8.70,TV (10 eps),Apr 2014 - Jun 2014,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
49,Code Geass: Hangyaku no Lelouch,8.70,TV (25 eps),Oct 2006 - Jul 2007,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
50,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.70,Movie (1 eps),Aug 2020 - Aug 2020,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
51,Great Teacher Onizuka,8.69,TV (43 eps),Jun 1999 - Sep 2000,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
52,Jujutsu Kaisen,8.67,TV (24 eps),Oct 2020 - Mar 2021,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
53,Made in Abyss,8.67,TV (13 eps),Jul 2017 - Sep 2017,https://myanimelist.net/anime/34599/Made_in_Abyss
54,Mo Dao Zu Shi: Wanjie Pian,8.67,ONA (12 eps),Aug 2021 - Oct 2021,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
55,Mononoke Hime,8.67,Movie (1 eps),Jul 1997 - Jul 1997,https://myanimelist.net/anime/164/Mononoke_Hime
56,Mushishi,8.67,TV (26 eps),Oct 2005 - Jun 2006,https://myanimelist.net/anime/457/Mushishi
57,Violet Evergarden,8.67,TV (13 eps),Jan 2018 - Apr 2018,https://myanimelist.net/anime/33352/Violet_Evergarden
58,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.66,Movie (1 eps),Jan 2020 - Jan 2020,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
59,One Piece,8.66,TV (? eps),Oct 1999 -,https://myanimelist.net/anime/21/One_Piece
60,Shigatsu wa Kimi no Uso,8.66,TV (22 eps),Oct 2014 - Mar 2015,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
61,Hajime no Ippo: New Challenger,8.66,TV (26 eps),Jan 2009 - Jul 2009,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
62,Howl no Ugoku Shiro,8.66,Movie (1 eps),Nov 2004 - Nov 2004,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
63,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.65,TV (12 eps),Apr 2020 - Jun 2020,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
