Rank,Title,Score,Episodes,Airing
319,Major S2,8.21,TV (26 eps),Dec 2005 - Jun 2006
320,Nomad: Megalo Box 2,8.21,TV (13 eps),Apr 2021 - Jun 2021
321,ReLIFE: Kanketsu-hen,8.21,Special (4 eps),Mar 2018 - Mar 2018
322,Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.21,Special (1 eps),Dec 2018 - Dec 2018
323,Stand By Me Doraemon 2,8.21,Movie (1 eps),Nov 2020 - Nov 2020
324,Vanitas no Karte Part 2,8.21,TV (12 eps),Jan 2022 - Apr 2022
325,Maison Ikkoku,8.20,TV (96 eps),Mar 1986 - Mar 1988
326,Major S4,8.20,TV (26 eps),Jan 2008 - Jun 2008
327,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.20,Special (1 eps),Aug 2013 - Aug 2013
328,Shoujo Shuumatsu Ryokou,8.20,TV (12 eps),Oct 2017 - Dec 2017
329,Tanoshii Muumin Ikka,8.20,TV (78 eps),Apr 1990 - Oct 1991
330,xxxHOLiC: Rou,8.20,OVA (2 eps),Apr 2010 - Mar 2011
331,Berserk: Ougon Jidai-hen III - Kourin,8.20,Movie (1 eps),Feb 2013 - Feb 2013
332,Bungou Stray Dogs 2nd Season,8.20,TV (12 eps),Oct 2016 - Dec 2016
333,Douluo Dalu: Xiaowu Juebie,8.20,ONA (13 eps),May 2020 - Aug 2020
334,InuYasha: Kanketsu-hen,8.20,TV (26 eps),Oct 2009 - Mar 2010
335,Little Busters!: Refrain,8.20,TV (13 eps),Oct 2013 - Dec 2013
336,Asobi Asobase,8.19,TV (12 eps),Jul 2018 - Sep 2018
337,Bakuman.,8.19,TV (25 eps),Oct 2010 - Apr 2011
338,Ballroom e Youkoso,8.19,TV (24 eps),Jul 2017 - Dec 2017
339,Chihayafuru,8.19,TV (25 eps),Oct 2011 - Mar 2012
340,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.19,Movie (1 eps),Oct 2017 - Oct 2017
341,Fate/stay night: Unlimited Blade Works,8.19,TV (12 eps),Oct 2014 - Dec 2014
342,Girls & Panzer Movie,8.19,Movie (1 eps),Nov 2015 - Nov 2015
343,Higurashi no Naku Koro ni Kai,8.19,TV (24 eps),Jul 2007 - Dec 2007
344,Hunter x Hunter: Greed Island,8.19,OVA (8 eps),Feb 2003 - Apr 2003
345,Kamisama Hajimemashita◎,8.19,TV (12 eps),Jan 2015 - Mar 2015
346,Liz to Aoi Tori,8.19,Movie (1 eps),Apr 2018 - Apr 2018
347,Non Non Biyori Repeat,8.19,TV (12 eps),Jul 2015 - Sep 2015
348,Ramayana: The Legend of Prince Rama,8.19,Movie (1 eps),Jan 1993 - Jan 1993
349,Senki Zesshou Symphogear XV,8.19,TV (13 eps),Jul 2019 - Sep 2019
350,Shoujo Kakumei Utena,8.19,TV (39 eps),Apr 1997 - Dec 1997
351,Toaru Kagaku no Railgun T,8.19,TV (25 eps),Jan 2020 - Sep 2020
