Rank,Title,Score,Episodes,Airing
104,Yuru Camp△ Season 2,8.53,TV (13 eps),Jan 2021 - Apr 2021
105,Nana,8.52,TV (47 eps),Apr 2006 - Mar 2007
106,Steins;Gate 0,8.52,TV (23 eps),Apr 2018 - Sep 2018
107,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.52,Movie (1 eps),Jan 2019 - Jan 2019
108,Fruits Basket: Prelude,8.52,Movie (1 eps),Feb 2022 - Feb 2022
109,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie (1 eps),Apr 2010 - Apr 2010
110,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,TV (26 eps),Jan 2004 - Jan 2005
111,Jujutsu Kaisen 0 Movie,8.51,Movie (1 eps),Dec 2021 - Dec 2021
112,One Punch Man,8.51,TV (12 eps),Oct 2015 - Dec 2015
113,Samurai Champloo,8.50,TV (26 eps),May 2004 - Mar 2005
114,Shingeki no Kyojin Season 2,8.50,TV (12 eps),Apr 2017 - Jun 2017
115,Uchuu Kyoudai,8.50,TV (99 eps),Apr 2012 - Mar 2014
116,Ansatsu Kyoushitsu 2nd Season,8.50,TV (25 eps),Jan 2016 - Jul 2016
117,Banana Fish,8.50,TV (24 eps),Jul 2018 - Dec 2018
118,Hotaru no Haka,8.50,Movie (1 eps),Apr 1988 - Apr 1988
119,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV (39 eps),Apr 2016 - Dec 2016
120,Aria the Origination,8.49,TV (13 eps),Jan 2008 - Apr 2008
121,Rainbow: Nisha Rokubou no Shichinin,8.49,TV (26 eps),Apr 2010 - Sep 2010
122,Tian Guan Ci Fu Special,8.49,ONA (1 eps),Feb 2021 - Feb 2021
123,Mob Psycho 100,8.48,TV (12 eps),Jul 2016 - Sep 2016
124,Karakai Jouzu no Takagi-san 3,8.48,TV (12 eps),Jan 2022 - Mar 2022
125,Chihayafuru 3,8.47,TV (24 eps),Oct 2019 - Mar 2020
126,Gintama: The Semi-Final,8.47,Special (2 eps),Jan 2021 - Jan 2021
127,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.47,TV (12 eps),Jan 2021 - Mar 2021
128,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.46,Movie (1 eps),Oct 2013 - Oct 2013
129,Mo Dao Zu Shi,8.46,ONA (15 eps),Jul 2018 - Oct 2018
130,Nichijou,8.46,TV (26 eps),Apr 2011 - Sep 2011
131,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.46,Movie (1 eps),Apr 2013 - Apr 2013
132,Zoku Owarimonogatari,8.46,Movie (6 eps),Nov 2018 - Nov 2018
133,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.46,Movie (1 eps),Aug 2019 - Aug 2019
134,Golden Kamuy 3rd Season,8.45,TV (12 eps),Oct 2020 - Dec 2020
135,Haikyuu!!,8.45,TV (25 eps),Apr 2014 - Sep 2014
136,Mo Dao Zu Shi: Xian Yun Pian,8.45,ONA (8 eps),Aug 2019 - Sep 2019
137,Owarimonogatari,8.45,TV (12 eps),Oct 2015 - Dec 2015
138,Saenai Heroine no Sodatekata Fine,8.45,Movie (1 eps),Oct 2019 - Oct 2019
139,Summertime Render,8.45,TV (25 eps),Apr 2022 -
140,Yuu☆Yuu☆Hakusho,8.45,TV (112 eps),Oct 1992 - Jan 1995
141,Mushishi Zoku Shou: Odoro no Michi,8.44,Special (1 eps),Aug 2014 - Aug 2014
142,Vivy: Fluorite Eye's Song,8.44,TV (13 eps),Apr 2021 - Jun 2021
143,Wu Liuqi Zhi Xuanwu Guo Pian,8.44,ONA (10 eps),Jan 2021 - May 2021
144,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV (24 eps),Jan 2015 - Jun 2015
145,Josee to Tora to Sakana-tachi,8.44,Movie (1 eps),Dec 2020 - Dec 2020
146,Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie (2 eps),Aug 2012 - Aug 2012
147,Grand Blue,8.43,TV (12 eps),Jul 2018 - Sep 2018
148,Kono Oto Tomare! Part 2,8.43,TV (13 eps),Oct 2019 - Dec 2019
149,Koukaku Kidoutai: Stand Alone Complex,8.43,TV (26 eps),Oct 2002 - Oct 2003
150,Mononoke,8.43,TV (12 eps),Jul 2007 - Sep 2007
151,Saiki Kusuo no Ψ-nan,8.43,TV (120 eps),Jul 2016 - Dec 2016
152,Saiki Kusuo no Ψ-nan 2,8.43,TV (24 eps),Jan 2018 - Jun 2018
153,Major S5,8.41,TV (25 eps),Jan 2009 - Jun 2009
154,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,Movie (1 eps),Sep 2018 - Sep 2018
155,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.41,Movie (1 eps),Feb 2018 - Feb 2018
156,Shingeki no Kyojin: Kuinaki Sentaku,8.41,OVA (2 eps),Dec 2014 - Apr 2015
157,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie (1 eps),Sep 2019 - Sep 2019
158,Dr. Stone: Ryuusui,8.41,Special (1 eps),Jul 2022 - Jul 2022
159,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,TV (12 eps),Jan 2019 - Mar 2019
160,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.41,Movie (1 eps),Aug 2009 - Aug 2009
161,Cross Game,8.40,TV (50 eps),Apr 2009 - Mar 2010
162,Gintama°: Aizome Kaori-hen,8.40,OVA (2 eps),Aug 2016 - Nov 2016
163,Houseki no Kuni (TV),8.40,TV (12 eps),Oct 2017 - Dec 2017
164,Hunter x Hunter,8.40,TV (62 eps),Oct 1999 - Mar 2001
165,Kaze ga Tsuyoku Fuiteiru,8.40,TV (23 eps),Oct 2018 - Mar 2019
166,Non Non Biyori Nonstop,8.40,TV (12 eps),Jan 2021 - Mar 2021
167,Tensei shitara Slime Datta Ken 2nd Season,8.40,TV (12 eps),Jan 2021 - Mar 2021
168,Yoru ni Kakeru,8.40,Music (1 eps),Nov 2019 - Nov 2019
169,Natsume Yuujinchou Roku Specials,8.39,Special (2 eps),Sep 2017 - Oct 2017
170,Tian Guan Ci Fu,8.39,ONA (11 eps),Oct 2020 - Jan 2021
171,3-gatsu no Lion,8.39,TV (22 eps),Oct 2016 - Mar 2017
172,Barakamon,8.39,TV (12 eps),Jul 2014 - Sep 2014
173,Chihayafuru 2,8.39,TV (25 eps),Jan 2013 - Jun 2013
174,Kimetsu no Yaiba: Mugen Ressha-hen,8.39,TV (7 eps),Oct 2021 - Nov 2021
175,Baccano!,8.38,TV (13 eps),Jul 2007 - Nov 2007
176,Cowboy Bebop: Tengoku no Tobira,8.38,Movie (1 eps),Sep 2001 - Sep 2001
177,Fumetsu no Anata e,8.38,TV (20 eps),Apr 2021 - Aug 2021
178,Kamisama Hajimemashita: Kako-hen,8.38,OVA (4 eps),Aug 2015 - Aug 2016
179,Mushoku Tensei: Isekai Ittara Honki Dasu,8.38,TV (11 eps),Jan 2021 - Mar 2021
180,Usagi Drop,8.38,TV (11 eps),Jul 2011 - Sep 2011
181,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.38,TV (12 eps),Jul 2020 - Sep 2020
182,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,Movie (1 eps),Oct 2012 - Oct 2012
183,Kizumonogatari I: Tekketsu-hen,8.37,Movie (1 eps),Jan 2016 - Jan 2016
184,Bakuman. 2nd Season,8.36,TV (25 eps),Oct 2011 - Mar 2012
185,Haikyuu!! To the Top,8.36,TV (13 eps),Jan 2020 - Apr 2020
186,Hellsing Ultimate,8.36,OVA (10 eps),Feb 2006 - Dec 2012
187,Kaze no Tani no Nausicaä,8.36,Movie (1 eps),Mar 1984 - Mar 1984
188,Kobayashi-san Chi no Maid Dragon S,8.36,TV (12 eps),Jul 2021 - Sep 2021
189,Made in Abyss Movie 2: Hourou Suru Tasogare,8.36,Movie (1 eps),Jan 2019 - Jan 2019
190,Mahou Shoujo Madoka★Magica,8.36,TV (12 eps),Jan 2011 - Apr 2011
191,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.36,TV (13 eps),Jul 2020 - Sep 2020
192,Overlord IV,8.35,TV (? eps),Jul 2022 -
193,Psycho-Pass,8.35,TV (22 eps),Oct 2012 - Mar 2013
194,Gintama: Shiroyasha Koutan,8.35,Special (1 eps),Sep 2008 - Sep 2008
195,K-On! Movie,8.35,Movie (1 eps),Dec 2011 - Dec 2011
196,Kingdom 2nd Season,8.35,TV (39 eps),Jun 2013 - Mar 2014
197,Kiseijuu: Sei no Kakuritsu,8.35,TV (24 eps),Oct 2014 - Mar 2015
198,Bakemonogatari,8.34,TV (15 eps),Jul 2009 - Jun 2010
199,Given,8.34,TV (11 eps),Jul 2019 - Sep 2019
200,Gotcha!,8.34,Music (1 eps),Sep 2020 - Sep 2020
201,Major S6,8.34,TV (25 eps),Apr 2010 - Sep 2010
202,Neon Genesis Evangelion,8.34,TV (26 eps),Oct 1995 - Mar 1996
203,One Outs,8.34,TV (25 eps),Oct 2008 - Apr 2009
204,Uchuu Senkan Yamato 2199,8.34,OVA (26 eps),May 2012 - Oct 2013
205,Mobile Suit Gundam: The Origin,8.33,OVA (6 eps),Feb 2015 - May 2018
206,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,OVA (1 eps),Feb 2014 - Feb 2014
207,Ookami to Koushinryou II,8.33,TV (12 eps),Jul 2009 - Sep 2009
208,Romeo no Aoi Sora,8.33,TV (33 eps),Jan 1995 - Dec 1995
209,Sono Bisque Doll wa Koi wo Suru,8.33,TV (12 eps),Jan 2022 - Mar 2022
210,Versailles no Bara,8.33,TV (40 eps),Oct 1979 - Sep 1980
211,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,TV (11 eps),Apr 2011 - Jun 2011
212,Doupo Cangqiong: San Nian Zhi Yue,8.33,ONA (13 eps),Oct 2021 - Jan 2022
213,Holo no Graffiti,8.33,ONA (? eps),May 2019 -
214,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.33,ONA (12 eps),Dec 2021 - Dec 2021
215,Kemono no Souja Erin,8.33,TV (50 eps),Jan 2009 - Dec 2009
216,Evangelion: 2.0 You Can (Not) Advance,8.32,Movie (1 eps),Jul 2009 - Jul 2009
217,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV (13 eps),Apr 2015 - Jun 2015
218,Katanagatari,8.32,TV (12 eps),Jan 2010 - Dec 2010
219,Kawaki wo Ameku,8.32,Music (1 eps),Jan 2019 - Jan 2019
220,Natsume Yuujinchou,8.32,TV (13 eps),Jul 2008 - Sep 2008
221,Natsume Yuujinchou Go Specials,8.32,Special (2 eps),Mar 2017 - Apr 2017
222,NHK ni Youkoso!,8.32,TV (24 eps),Jul 2006 - Dec 2006
223,Sakamichi no Apollon,8.32,TV (12 eps),Apr 2012 - Jun 2012
224,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.32,TV (12 eps),Jul 2021 - Sep 2021
225,Violet Evergarden: Kitto "Ai" wo Shiru Hi ga Kuru no Darou,8.32,Special (1 eps),Jul 2018 - Jul 2018
226,Shelter (Music),8.31,Music (1 eps),Oct 2016 - Oct 2016
227,Tenki no Ko,8.31,Movie (1 eps),Jul 2019 - Jul 2019
228,World Trigger 3rd Season,8.31,TV (14 eps),Oct 2021 - Jan 2022
229,Boku dake ga Inai Machi,8.31,TV (12 eps),Jan 2016 - Mar 2016
230,Hunter x Hunter: Original Video Animation,8.31,OVA (8 eps),Jan 2002 - Apr 2002
231,Initial D First Stage,8.31,TV (26 eps),Apr 1998 - Dec 1998
232,Kotarou wa Hitorigurashi,8.31,ONA (10 eps),Mar 2022 - Mar 2022
233,Kuroko no Basket 3rd Season,8.31,TV (25 eps),Jan 2015 - Jun 2015
234,Detective Conan Movie 06: The Phantom of Baker Street,8.30,Movie (1 eps),Apr 2002 - Apr 2002
